@type|@id|@lat|@lon|addr:city|addr:housenumber|addr:postcode|addr:street|addr:place|name|brand
node|2442414785|50.8985311|16.7451047|Sobótka||55-050|Sobótka Rynek||Delikatesy Centrum|
node|2452726144|50.4845143|18.4075140||||||Delikatesy Centrum|Delikatesy Centrum
node|2463334458|52.2410417|19.3535206||||||Delikatesy Centrum|
node|2469454016|51.2295607|20.8609882||||||Delikatesy Centrum|Delikatesy Centrum
node|2478742643|49.2861413|19.9805767||||||Delikatesy Centrum|
node|2483598941|50.1005242|19.2646811||||Krakowska||Delikatesy Centrum|Delikatesy Centrum
node|2495909509|49.7703191|18.8540313||||||Delikatesy Centrum|Delikatesy Centrum
node|2531677315|49.9756501|19.8249016|Skawina|8|32-050|Adama Mickiewicza||Delikatesy Centrum|
node|2584203162|51.2863776|18.5608874||||||Delikatesy Centrum|
node|2598674158|51.2653987|15.5327968|Bolesławiec|21|59-700|Sadowa||Delikatesy Centrum|Delikatesy Centrum
node|2609361876|49.7366970|19.8907913||||||Delikatesy Centrum|
node|2619803476|49.8766363|19.4996451|Wadowice|10|34-100|Osiedle Mikołaja Kopernika||Delikatesy Centrum|Delikatesy Centrum
node|2629965198|49.8823209|19.2296747|Kęty|14|32-650|Henryka Sienkiewicza||Delikatesy Centrum|Delikatesy Centrum
node|2630227974|50.9822601|18.2041806||||||Delikatesy Centrum|Delikatesy Centrum
node|2640120561|51.1640883|16.5856292|Środa Śląska|28|55-300|Legnicka||Delikatesy Centrum|
node|2644697983|50.0107673|19.3716507|Przeciszów|3|32-641|Podlesie||Delikatesy Centrum|Delikatesy Centrum
node|2654864099|51.3363983|16.6461955|Wołów||56-100|Zwycięstwa||Delikatesy Centrum|
node|2684104306|49.6577151|21.9966018||163|36-211||Jasionów|Delikatesy Centrum|Delikatesy Centrum
node|2686773477|49.8774202|19.1964291|Kęty|28A|32-650|Partyzantów||Delikatesy Centrum|Delikatesy Centrum
node|2698805795|49.7351984|19.1284188||||||Delikatesy Centrum|Delikatesy Centrum
node|2706753909|49.8624084|21.0194938||||||Delikatesy Centrum|
node|2752282632|49.6972401|22.0227737||||||Delikatesy Centrum|
node|2758574684|50.6455995|20.2808821||||||Delikatesy Centrum|Delikatesy Centrum
node|2767264848|49.8809506|20.0892369|Dobczyce|1|32-410|Rynek||Delikatesy Centrum|Delikatesy Centrum
node|2775277311|50.0592104|22.0472290|Rzeszów|47a|35-322|Księdza Jana Stączka||Delikatesy Centrum|
node|2791662330|51.6364927|15.1426706|Żary|14B|68-200|Podwale||Delikatesy Centrum|Delikatesy Centrum
node|2814244567|50.2229488|19.7406374||85|32-048||Gotkowice|Delikatesy Centrum|
node|2837671752|50.8881694|20.1135675||||||Delikatesy Centrum|
node|2838499022|50.4107862|21.1487314||||||Delikatesy Centrum|
node|2852564929|49.4926072|20.6822960||||||Delikatesy Centrum|
node|2852979545|52.9928947|15.2168426||||||Delikatesy Centrum|Delikatesy Centrum
node|2859790804|49.7208881|20.3423278||||||Delikatesy Centrum|
node|2860147840|52.9194867|22.5145188||||||Delikatesy Centrum|Delikatesy Centrum
node|2882029010|51.1223640|17.0474723||||||Delikatesy Centrum|
node|2884295261|50.8573676|16.3329737|Świebodzice|10|58-160|Osiedle Sudeckie||Delikatesy Centrum|
node|2885210574|51.0929563|17.0253712|Wrocław|147|53-343|Komandorska||Delikatesy Centrum|
node|2895315204|51.1544554|15.0152616|Zgorzelec|24|59-900|Józefa Poniatowskiego||Delikatesy Centrum|Delikatesy Centrum
node|2897523942|53.7768898|20.5055076||||||Delikatesy Centrum|Delikatesy Centrum
node|2903163733|51.4184101|21.1684358|Radom|5|26-605|Stefanii Sempołowskiej||Delikatesy Centrum|Delikatesy Centrum
node|2908970980|50.5326117|23.7269446||||||Delikatesy Centrum|
node|2909863578|50.6832466|19.6254913|Lelów|5|42-235|Plac Partyzantów||Delikatesy Centrum|
