Lp.,Nazwa ulicy / rejon,Numer,Nazwa przystanku,NOWY Numer,NOWA Nazwa przystanku,Dostępność
143,Lubiatowska ,02, Chełmoniewo,02,Lubiatowska,ogólnodostępny
144,Lubiatowska ,01, Chełmoniewo,01,Lubiatowska,ogólnodostępny
145,Lubiatowska ,03, Krawiecka,01,Krawiecka,ogólnodostępny
146,Lubiatowska ,04, Łąkowa ,02,Dzierżęcino,ogólnodostępny
147,Lubiatowska ,06,Żurawinowa,02,Żurawinowa,ogólnodostępny
148,Lubiatowska ,08,Zielone Wzgórze,02,Zielone Wzgórze,ogólnodostępny
149,Lubiatowska ,10, Wioska Indiańska,02,Wioska Indiańska,ogólnodostępny
150,Lubiatowska ,,NOWY PRZYSTANEK,01,Wioska Indiańska,ogólnodostępny
151,Lubiatowska ,12,Jeziorna,02,Jeziorna,ogólnodostępny
152,Lubiatowska ,13, Jeziorna pętla,01,Lubiatowo,ogólnodostępny
153,Ludwika Waryńskiego,02, Matejki,02,Sąd Okręgowy,operator publicznego transportu zbiorowego
154,Ludwika Waryńskiego,01, Szymanowskiego,01,Sąd Okręgowy,operator publicznego transportu zbiorowego
155,Lutyków ,02, Lechicka,02,Lutyków,ogólnodostępny
156,Lutyków ,01, Skargi,01,Lutyków,ogólnodostępny
157,Łabusz ,02, Starowiejska pętla,02,Łabusz,ogólnodostępny
158,Marszałka Józefa Piłsudskiego,02, Waryńskiego,02,Radio,ogólnodostępny
159,Marszałka Józefa Piłsudskiego,04, Moniuszki,02,Biblioteka Pedagogiczna,ogólnodostępny
160,Marszałka Józefa Piłsudskiego,01,Orląt Lwowskich,01,Orląt Lwowskich,ogólnodostępny
161,Marszałka Józefa Piłsudskiego,06, Traugutta,02,Orląt Lwowskich,ogólnodostępny
162,Marszałka Józefa Piłsudskiego,03, Zubrzyckiego,01,Piłsudskiego,ogólnodostępny
163,Mieszka I,01, Szczecińska,01,Żwirki i Wigury,ogólnodostępny
164,Mieszka I,07,ZORD,01,ZORD,ogólnodostępny
165,Mieszka I,08,ZORD,02,ZORD,ogólnodostępny
166,Mieszka I ,02, Bohaterów Warszawy,02,Żwirki i Wigury,ogólnodostępny
167,Mieszka I ,03,Miła,01,Miła,ogólnodostępny
168,Mieszka I ,04, Zacisze,02,Miła,ogólnodostępny
169,Mieszka I ,05, BoWiD ,01,Mieszka I Wiadukt,ogólnodostępny
170,Mieszka I ,06, BoWiD,02,Mieszka I Wiadukt ,ogólnodostępny
171,Młyńska,02, Asnyka,02,Urząd Miejski,ogólnodostępny
172,Młyńska ,01,Urząd Miejski,01,Urząd Miejski,ogólnodostępny
173,Młyńska ,03, Plac Kilińskiego,01,Plac Kilińskiego,ogólnodostępny
174,Młyńska ,04, Monte Cassino,02,Bilbioteka,ogólnodostępny
175,Monte Cassino,01, Młyńska,01,Bilbioteka,ogólnodostępny
176,Monte Cassino ,02, Fałata,04,Bilbioteka,ogólnodostępny
177,Monte Cassino ,03, Podgórna,01,Podgórna,operator publicznego transportu zbiorowego
178,Monte Cassino ,04, Bałtycka,02,Podgórna,operator publicznego transportu zbiorowego
179,Morska ,02, Bohaterów Warszawy,02,Energetyka,operator publicznego transportu zbiorowego
180,Morska ,04,Energetyków,02,Energetyków,ogólnodostępny
181,Morska ,01, Kazel,01,Energetyków,ogólnodostępny
182,Morska ,03, Przemysłowa,01,Urząd Skarbowy,operator publicznego transportu zbiorowego
183,Morska ,06, Sienkiewicza,02,Urząd Skarbowy,ogólnodostępny
184,Morska ,05, Krańcowa,01,Kresowian,ogólnodostępny
185,Morska ,08, Krańcowa,02,Kresowian,ogólnodostępny
186,Morska ,10,Leśniczówka,02,Leśniczówka,ogólnodostępny
187,Morska ,07,Leśniczówka,01,Leśniczówka,ogólnodostępny
188,Na Skwierzynkę,,NOWY PRZYSTANEK,01,Na Skwierzynkę,ogólnodostępny
189,Na Skwierzynkę,,NOWY PRZYSTANEK,02,Na Skwierzynkę,ogólnodostępny
190,Orląt Lwowskich ,02, Hanki Sawickiej,02,Budowlanka,operator publicznego transportu zbiorowego
191,Paproci ,01, Łubinów,01,Goździków,ogólnodostępny
192,Paproci ,02,Goździków,02,Goździków,ogólnodostępny
193,Paproci ,03, Kaczeńców,01,Słoneczników,ogólnodostępny
194,Paproci ,04,Słoneczników,02,Słoneczników,ogólnodostępny
195,Paproci ,05, Bratków,01,Bratków,ogólnodostępny
196,Paproci ,06, Nasturcji,02,Bratków,ogólnodostępny
197,Połczyńska,05, Szkoła,01,Połczyńska Szkoła,ogólnodostępny
198,Połczyńska,,NOWY PRZYSTANEK,02,Żytnia,ogólnodostępny
199,Połczyńska,,NOWY PRZYSTANEK,01,Żytnia,ogólnodostępny
200,Połczyńska,,NOWY PRZYSTANEK,04,Seminaryjna,ogólnodostępny
201,Połczyńska ,02, Poprzeczna,02,Gazownia,ogólnodostępny
202,Połczyńska ,01,Gazownia,01,Gazownia,ogólnodostępny
203,Połczyńska ,03, 4 Marca,01,Połczyńska,ogólnodostępny
204,Połczyńska ,04, Słowiańska,02,Połczyńska,ogólnodostępny
205,Połczyńska ,06, Działkowa,02,Połczyńska Szkoła,ogólnodostępny
206,Połczyńska ,08,Sarzyno,02,Sarzyno,ogólnodostępny
207,Połczyńska ,07,Sarzyno,01,Sarzyno,ogólnodostępny
208,Połczyńska ,09,Seminaryjna,01,Seminaryjna,ogólnodostępny
209,Powstańców Wielkopolskich ,01, Szkoła,01,Powstańców Wielkopolskich ,ogólnodostępny
210,Północna ,01,Torfowa,01,Torfowa,ogólnodostępny
211,Północna ,02,Torfowa,02,Torfowa,ogólnodostępny
212,Północna ,04, Starowiejska ,02,Starowiejska,ogólnodostępny
213,Północna ,03, Starowiejska ,01,Starowiejska,ogólnodostępny
214,Promowa,,NOWY PRZYSTANEK,01,Promowa,ogólnodostępny
215,Promowa,,NOWY PRZYSTANEK,02,Promowa,ogólnodostępny
216,Promowa,,NOWY PRZYSTANEK,01,Kogucia,ogólnodostępny
