operator,addr:housenumber,addr:street,addr:city,addr:place,addr:postcode,fuel:octane_95,fuel:octane_98,fuel:diesel,fuel:lpg,fuel:CNG
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością,88,Paderewskiego,Lubin,,59-300,yes,yes,yes,yes,
Anwim Spółka Akcyjna (Moya),101A,Paderewskiego,Lubin,,59-300,yes,,yes,yes,
"Przedsiębiorstwo Handlowo-Usługowe ""6,60 Ekostyl"" - Andrzej Chatała",1,Rzeźnicza,Lubin,,59-300,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4073,2,Leśna,Lubin,,59-300,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4102,12,Hutnicza,Lubin,,59-300,yes,,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 7502),8,Hutnicza,Lubin,,59-300,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 981,3,Zielonogórska,Lubin,,59-300,yes,yes,yes,yes,
Stacja Paliw Quick Mobile S.A.,,,,MIŁOSNA,67-200,,,,yes,
Pieprzyk Family Spółka Z Ograniconą Odpowiedzialnością,36,Miłosna Dk,Miłosna,,59-323,yes,yes,yes,yes,
Pieprzyk Family Spółka Z Ograniconą Odpowiedzialnością,5,Witosa,Rudna,,59-305,yes,,yes,yes,
"Stacja Paliw Kmk Stanisław Kaśków, Michał Koreń, Mirosław Maj Sp.J.",10,Witosa,Ścinawa,,59-330,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1098,14,Wołowska,Ścinawa,,56-330,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 880,3,Lwówecka,Gryfów Śląski,,59-620,yes,yes,yes,yes,
Spółdzielnia Stw W Bolesławcu (Part. Circle),7E,Jeleniogórska,Gryfów Śląski,,59-620,yes,yes,yes,yes,
Gminna Spółdzienia Samopomoc Chłopska W Starej Kamiennej,29D,Majowa,Lubomierz,,59-625,yes,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 280),13,Jaśkiewicza,Lwówek Śląski,,59-600,yes,yes,yes,,
Watis Polska Spółka Z Ograniczoną Odpowiedzialnością,,Przyjaciół,Lwówek Śląski,,59-600,yes,yes,yes,,
