operator,addr:housenumber,addr:street,addr:city,addr:place,addr:postcode,fuel:octane_95,fuel:octane_98,fuel:diesel,fuel:lpg,fuel:CNG
Phup Trans-Pal Głażewski M. I W.,,Chodkowo,Płoniawy,,06-210,,,,yes,
Cichowski Janusz,,,,PŁONIAWY,06-210,,,,yes,
"Lux-Motor Oil A. Nieścior, J. Nieścior Spółka Jawna",1D,,,PŁONIAWY-BRAMURA,06-210,yes,,yes,yes,
Biesalski Sławomir,,,,RÓŻAN,06-230,,,,yes,
S. Kacprzak,,,,RÓŻAN,06-230,,,,yes,
"Przedsiębiorstwo Budowlano-Handlowe ""Z.Niziński"", (Stacja Partnerska Marki Lotos)",2,Ostrowska,Różan,,06-230,yes,yes,yes,yes,
Mariusz Kurlanda Zakład Usługowo-Handlowy,58,Poniatowskiego,Różan,,06-230,yes,,yes,yes,
Zakład Usługowo-Handlowy Marek Gutowski (Stacja Shell Polska Sp. Z O.O. Nr 8124),59,Kościuszki,Różan,,06-230,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 798),42,Warszawska,Różan,,06-230,yes,yes,yes,yes,
Piotrbet Skrzecz Piotr Waldemar I Beata (Stacja Franczyzowa Pkn Orlen S.A. Nr 7111),139,Łaś,Rzewnie,,06-225,yes,yes,yes,yes,
Krzysztof Deptuła Usługi Budowlane,2,Rzewnie,Rzewnie Gm. Różan,,06-225,yes,,yes,,
Pth Bud Rol Marian Majkowski,8,,,SŁAWKOWO,06-216,,,yes,,
Głażewski Jakub,,,,SYPNIEWO,06-212,,,,yes,
"Marek Żbikowski, Adam Żbikowski - Wspólnicy Spółki Cywilnej",45,Ostrołęcka,Sypniewo,,06-216,yes,,yes,yes,
Pathas Stanisław Płoski,97,,,SZCZUKI,06-211,yes,yes,yes,yes,
Gałązka Andrzej I Sepełowski Krzysztof,,,,SZELKÓW,06-200,,,,yes,
"Phu ""Sap"" Wierzbowscy Jan I Bogusława",,,,SZELKÓW,06-220,,,,yes,
Greenway 5 Sp. Z O.O.,,Droga 61 W,Szelków,,06-220,yes,yes,yes,yes,
Stacja Paliw Ewa Chojnowska,,,,ZAŁĘŻE WIELKIE,06-231,yes,yes,yes,yes,
Iv One Sp.Z O.O.,8,,,ZAMOŚĆ,06-213,,,,yes,
Husar Spółka Z Ograniczoną Odpowiedzialnoscią,8,,,ZAMOŚĆ,06-213,yes,,yes,yes,
"Mirosław Wardych Przedsiębiorstwo Wielobranżowe ""Gambit""",7,Dobrzyckiego,Cegłów,,05-319,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4202),19,Warszawska,Choszczówka Stojecka,,05-300,yes,yes,yes,yes,
Elda Dariusz Pieniek (Part. Lotos),2K,Warszawska,Dębe Wielkie,,05-311,yes,yes,yes,yes,
"Dariusz Kilianczyk, Sylwester Zych - Wspólnicy Spółki Cywilnej",3,Przemysłowa,Dobre,,05-307,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 991),3G,Gen. Jana Skrzyneckiego,Dobre,,05-307,yes,yes,yes,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,36,Kobielska,Grębiszew,,05-300,yes,,yes,yes,
Atip Spółka Z Ograniczoną Odpowiedzialnoscią,30,Powstania Styczniowego,Halinów,,05-074,yes,yes,yes,yes,
Dakoil Spółka Z Ograniczoną Odpowiedzialnością (Stacja Shell Polska Sp. Z O.O. Nr 8107),2,Warszawska,Kałuszyn,,05-310,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 995),57,Warszawska,Kałuszyn,,05-310,yes,,yes,yes,
Rapit Latowicz Piotr Radzio,24,Siedlecka,Kolonia Rozstanki,,05-334,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,117,Terespolska,Konik Nowy,,05-074,yes,yes,yes,yes,
Atip Spółka Z Ograniczoną Odpowiedzialnoscią,61,,,KUFLEW,05-320,yes,,yes,yes,
Unimot Społka Akcyjna (Avia),11,Sosnowa,Maliszew,,05-300,yes,yes,yes,yes,
"Przedsiębiorstwo Produkcyjno - Usługowo - Handlowe ""Agro-Tank"" Spółka Jawna (Part. Circle)",1,Przemysłowa,Mińsk Mazowiecki,,05-300,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 1516,220,Warszawska,Mińsk Mazowiecki,,05-300,yes,yes,yes,yes,
Przedsiębiorstwo Budowy Dróg I Mostów Sp. Z O.O.,28,Kolejowa,Mińsk Mazowiecki,,05-300,,,yes,,
"Przedsiębiorstwo Usługowo-Handlowe Opał-Tank Irena, Dariusz, Grzegorz Nojszewscy Spółka Jawna (Avia)",83,Sosnkowskiego,Mińsk Mazowiecki,,05-302,yes,yes,yes,yes,
"Przedsiębiorstwo Handlowo-Usługowe ""Partner"" Spółka Jawna Adam I Grażyna Wiącek (Stacja Partnerska Marki Bp)",30,Dąbrówki,Mińsk Mazowiecki,,05-300,yes,yes,yes,yes,
Przedsiębiorstwo Produkcyjno Handlowe Wiesław Gajowniczek,2,Tartaczna,Mrozy,,05-320,yes,yes,yes,yes,
Ireneusz Dziugieł Stacja Paliw,2A,Mińska,Pogorzel,,05-332,yes,yes,yes,yes,
"Elżbieta Chruślińska , Łukasz Chruśliński ""Cez-Dom"" S.C",90,Mińska,Siennica,,05-332,yes,yes,yes,yes,
Spółdzielnia Kółek Rolniczych W Stanisławowie,52,Warszawska,Stanisławów,,05-304,yes,,yes,yes,
Mgr Grupa Spółka Z Ograniczoną Odpowiedzialnością,1,,,STANISŁAWÓW,05-304,yes,,yes,yes,
Atip Spółka Z Ograniczoną Odpowiedzialnoscią,2,Strażacka,Stara Niedziałka,,05-300,yes,yes,yes,yes,
"Przedsiębiorstwo Handlowo-Usługowe ""Partner"" Spółka Jawna Adam I Grażyna Wiącek (Stacja Partnerska Marki Bp)",75,Warszawska,Stojadła,,05-300,yes,yes,yes,yes,
Stooil Antosiewicz Krystyna,39,Kołbielska,Stojadła,,05-300,yes,,yes,yes,
"Stacja Paliw Płynnych I Gazowych ""Formuła 44"" Michał Pełka",65,Okuniewska,Sulejówek,,05-070,yes,yes,yes,yes,
Atip Ludwiniak Wójcik Spółka Jawna,2A,Okuniewska,Sulejówek,,05-070,yes,yes,yes,yes,
Ireneusz Dziugieł Stacja Paliw,49,Ul. Mińska,Wielgolas,,05-334,yes,yes,yes,yes,
Elda - Bis Elżbieta Pieniek,14,Kilińskiego,Wola Paprotnia,,05-320,yes,yes,yes,yes,
Stacja Lpg,,,,DZIERZGOWO,06-520,,,,yes,
Przedsiębiorstwo Handlowo-Usługowe Transmik Karola Nowakowska,,,,GŁUŻEK,06-521,yes,yes,yes,yes,
Stacja Lpg,,,,KONOPKI,06-560,,,,yes,
Konpal Roman Mikołajski I Grzegorz Mikołajski S.J.,31,Kwiatowa,Konopki,,06-560,,,,yes,
Mag-Trans Spółka Z Ograniczoną Odpowiedzialnoscia Spółka Komandytowo-Akcyjna (Part. Lotos),86A,,,LIPOWIEC KOŚCIELNY,60-545,yes,,yes,yes,
"Phu ""Wamex"" Adam Wasiłowski",177A,,,ŁOMIA,06-500,yes,,yes,,
Stacja Lpg,,,,MŁAWA,06-500,,,,yes,
Stacja Lpg,,,,MŁAWA,06-500,,,,yes,
Stacja Lpg,,,,MŁAWA,06-500,,,,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,39A,Piłsudskiego,Mława,,06-500,yes,,yes,yes,
Stacja Lpg,,T.,Mława,,06-500,,,,yes,
Stacja Lpg,,,,MŁAWA,06-500,,,,yes,
Carrefour Polska Spółka Z Ograniczoną Odpowiedzialnością,13,Targowa,Mława,,06-500,yes,yes,yes,,
Zmudgaz Paliwa Adriana Zmudczyńska (Moya),1,Niska,Mława,,05-600,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4319),10,Grzebskiego,Mława,,06-500,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,39,Polna,Mława,,06-500,yes,yes,yes,yes,
"Przedsiębiorstwo Handlowo-Usługowe ""Gramax"" Spółka Z Ograniczoną Odpowiedzialnością",140,Dzierzgowska,Mława,,06-500,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 1332),18/19,Płocka,Mława,,06-500,yes,yes,yes,yes,
"Pph ""Transmik"" Karola Nowakowska",6,Torfa-Załęskiego,Mława,,06-500,yes,yes,yes,yes,
M&D Orion Sp.Z O.O.,2,Batorego,Mława,,06-500,yes,,yes,,
"Phu ""Gramax"" Remigiusz Gralewicz",,,,NIEDZBÓRZ,06-445,yes,,yes,,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,88A,Pepłowo,Pepłowo (Wieczfnia Kościelna),,06-512,yes,yes,yes,yes,
Koniecka Bogumiła Stacja Paliw Kanoil,52,Wyzwolenia,Strzegowo,,06-445,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 845,1B,Al. Wyzwolenia,Strzegowo-Wieś,,06-445,yes,,yes,,
Stacja Lpg,,,,SZREŃSK,06-550,,,,yes,
Btl Solutions Krzysztof Kanowski,1,Żuromińska,Szreńsk,,06-550,yes,,yes,yes,
Stacja Lpg,,Trzcianka,Szydłowo,,06-516,,,,yes,
Stanisław Wiesław Płoski Phu Pathas,1,Mazowiecka,Szydłowo,,06-156,yes,,yes,yes,
Transbud Group Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa (Part. Bp),113,,,UNISZKI ZAWADZKIE,06-513,yes,yes,yes,yes,
Stacja Lpg,,,,WIECZFNIA KOSCIELNA,06-513,,,,yes,
Stacja Lpg,,,,WIŚNIEWO,06-521,,,,yes,
"Fast-Oil Gadomski, Choroś Sp.J (Stacja Partnerska Marki Bp)",,,,WIŚNIEWO,06-521,yes,yes,yes,yes,
Stacja Lpg 0,,Wola,Wola Szydłowska,,06-561,,,,yes,
M.J. Oil Spółka Z Ograniczoną Odpowiedzialnością,7,Wspólna,Cybulice Duże,,05-152,yes,,yes,yes,
Axan Retail Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa,105,Warszawska,Czosnów,,05-152,yes,,yes,yes,
Stacja Lpg,,Kazuń,Kazuń Bielany,,05-152,,,,yes,
Stacja Lpg,59,Lorcin,Lorcin,,05-190,,,,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,17,,,ŁOMNA LAS,05-152,yes,yes,yes,yes,
"Ph-U Bud-Pol S.C. Aldona Pawłowska, Zenon Pawłowski",4,,,MICHAŁÓW,05-155,yes,yes,yes,yes,
Stacja Lpg,,,,NASIELSK,05-190,,,,yes,
Stacja Lpg,,,,NASIELSK,05-190,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 795,15,Warszawska,Nasielsk,,05-190,yes,yes,yes,,
Monrex Monika Szymańska-Piotrowska,6,Płońska,Nasielsk,,05-190,yes,yes,yes,yes,
Axan Sp. Z O.O.,2,Gen. Morawicza,Nowy Dwór Mazowiecki,,05-110,,,,yes,
Stacja Lpg,,,,NOWY DWÓR MAZOWIECKI,05-100,,,,yes,
Stacja Lpg,,Wojska,Nowy Dwór Mazowiecki,,05-100,,,,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,34,Warszawska,Nowy Dwór Mazowiecki,,05-100,yes,yes,yes,yes,
Nova Oil Spółka Z Ograniczoną Odpowiedzialnoscią,4,Przemysłowa,Nowy Dwór Mazowiecki,,05-100,yes,,yes,yes,
Artkom Artur Domżała,11,Żołnierzy Września,Nowy Dwór Mazowiecki,,05-102,,,,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,1,Jana Pawła Morawicza,Nowy Dwór Mazowiecki,,05-100,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 567,,Gen.,Nowy Dwór Mazowiecki,,05-102,yes,yes,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,2,Nadwiślańska,Pieńków,,05-152,yes,yes,yes,,
Stacja Lpg,,,,PIEŚCIROGI STARE,05-190,,,,yes,
Elwira Ptasińska Ph Pef,2,,,PNIEWO,05-190,yes,yes,yes,yes,
Mpk Gaz M.M.Kiewicz Spółka Jawna,1,Przytorowa,Pomiechówek,,05-180,yes,,yes,yes,
"Przedsiębiorstwo Handlowo-Usługowe Petro-Venta Dyzio Marek, Chodynia Grzegorzspółka Jawna (Fr. Orlen)",67,,,WÓLKA GÓRSKA,05-100,yes,yes,yes,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,41,Byłych Więźniów Twierdzy Zakroczymskiej,Zakroczym,,05-170,yes,yes,yes,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,17,Kpt. Tadeusza Wojciecha Doranta,Zakroczym,,05-170,yes,yes,yes,yes,
Green Gas & Garden Spółka Z Ograniczoną Odpowiedzialnością,2,Zielona,Antonie,,07-410,yes,,yes,yes,
"Przesiębiorstwo Produkcyjno - Handlowo Usługowe ""Agropal""- Deptuła Andrzej",12,Mostowa,Baranowo,,06-320,yes,yes,yes,yes,
Rol-Drew Andrzej Karwowski Przedsiębiorstwo Wielobranżowe Produkcyjno-Handlowo-Usługowe,102,,,BARTNIKI,96-332,yes,,yes,yes,
Pphut Długpol Ryszard Długołęcki (Stacja Franczyzowa Pkn Orlen S.A. Nr 7505),1,Przemysłowa,Czerwin,,07-407,yes,yes,yes,yes,
Stacja Paliw J. Mierzejewski,,,,GOWOROWO,07-440,yes,,yes,yes,
Benzol Spółka Z Ograniczoną Odpowiedzialnoscią (Fr. Orlen),39A,,,GOWORÓWEK,07-440,yes,yes,yes,yes,
Stacja Paliw-Deptuła Spółka Jawna,56,Trasa Mazurska,Kadzidło,,07-420,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 563,1A,Warszawska,Kadzidło,,07-420,yes,yes,yes,yes,
Amic Polska Spółka Z Ograniczoną Odpowiedzialnością,1,Warszawska,Kordowo,,07-541,yes,,yes,yes,
"Marcin Krzysztof Żebrowski, Ewa Chaberek - Wspólnicy Spółki Cywilnej",9,Przemysłowa,Lelis,,07-402,yes,,yes,,
Stacja Lpg,,,,ŁYSE,07-437,,,,yes,
Firma  Stalmar  Maria  Krystyna Bałdyga,6,Topolowa,Łyse,,07-437,yes,yes,yes,yes,
Efekt Spółka Z Ograniczoną Odpowiedzialnością,1,Targowa,Myszyniec,,07-430,yes,,yes,yes,
Grom Spółka Z Ograniczoną Odpowiedzialnością (Stacja Franczyzowa Pkn Orlen S.A.),116,Stefanowicza,Myszyniec,,07-430,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen S.A Stacja Nr 792,60A,Plac Wolności,Myszyniec,,07-430,yes,yes,yes,yes,
Krzysztof Książak,1C,Kolejowa,Nowa Wieś,,07-416,yes,,yes,yes,
Stacja  Lpg,31,Brzozowa,Olszewo-Borki,,07-415,,,,yes,
Pphu Romex Kinga Zalewska,2,Warszawska,Olszewo-Borki,,07-415,yes,,yes,yes,
Mkw Suchecki Sp. Z O.O. (Stacja W Barwach Bp),8,Al. Solidarności,Ostrołęka,,07-410,yes,yes,yes,yes,
Stacja Lpg,15A,Kolonia,Rzekuń,,07-411,,,,yes,
"Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe "" Aldo"" Leszek Długołęcki Andrzej Długołęcki Spółka Jawna",116,Surowe,Surowe,,07-431,yes,,yes,yes,
Harvey Pl Narcjusz Grabowski,2A,,,SZWENDROWY MOST,07-402,yes,,yes,yes,
"Puh „Al.-An"" Stacja Paliw A.Wrochna A.Krasnodębski   Sp.J.",83,Jana Pawła Ii,Brok,,07-306,yes,yes,yes,yes,
Skłodowski S.J.,,,,DANIŁOWO,07-300,yes,,yes,yes,
Golimex Cieśluk I S-Ka Spółka Jawna (Fr. Orlen),3A,,,GRĄDY,07-311,yes,yes,yes,yes,
"Ryszard Długołęcki Przedsiębiorstwo Produkcyjno - Handlowo - Transportowe ""Długpol"" (Stacja Franczyzowa Pkn Orlen S.A. Nr 7134)",18,Mazowiecka,Komorowo,,07-310,yes,yes,yes,yes,
F.H.U.P. Boma Bogdan Jasionek,4D,Lubotyń Włóki,Lubotyń Włóki,,07-303,yes,,yes,,
Axan Spółka Z Ograniczoną Odpowiedzialnością,98A,Nurska,Małkinia Górna,,07-300,yes,yes,yes,yes,
Firma Handlowo-Usługowa Anna Chlubicka (Stacja Partnerska Marki Bp),11,Nurska,Małkinia Górna,,07-320,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 996),148,Nurska,Małkinia Górna,,07-320,yes,yes,yes,,
Stacja Paliw Agata Romanik,2A,,,NAGOSZEWO,07-300,yes,yes,yes,yes,
Stacja Paliw Wig Waraccy I Grodzccy Sp.J.,178,Małkińska,Ostrów Mazowiecka,,07-300,yes,yes,yes,yes,
"Ryszard Długołęcki Przedsiębiorstwo Produkcyjno - Handlowo - Transportowe ""Długpol"" (Fr. Orlen)",63,Lubiejewska,Ostrów Mazowiecka,,07-300,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4301),143,Lubiejewska,Ostrów Mazowiecka,,07-300,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 357,102,Warszawska,Ostrów Mazowiecka,,07-300,yes,yes,yes,yes,
Stacja Tankowania Lpg,8,Zambrowska,Podborze,,07-300,,,,yes,
Stacja Paliw Urbimax Andrzej Urbański,100,Przyjmy,Poręba,,07-308,yes,yes,yes,,
Stacja Paliw Paks Sp. Z O.O.Tymiński Paweł Szczapa Agnieszka,,,,PROSIENICA,07-304,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4376),,,,PROSIENICA,07-300,yes,yes,yes,yes,
Skłodowski Sj,,,,SKŁODY STACHY,07-323,yes,,yes,yes,
Składowski Spółka Jawna,22,Wyszyńskiego,Szulborze Wielkie,,07-324,yes,,yes,yes,
Stacja Gazu Płynnego,,Zawisty,Zawisty Nadbużne,,07-320,,,,yes,
Euroinvestment Spółka Z Ograniczoną Odpowiedzialnoscią,109A,,,CAŁOWANIE,05-480,yes,,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 1068),42,Szosa Mińska,Duchnów (Wiązowna),,05-462,yes,yes,yes,yes,
"Przedsiębiorstwo Handlowo-Usługowe ""Algaz"" Spółka Jawna Mariusz Starosz",62,,,DZIECINÓW,08-446,,,,yes,
Stacja Paliw Płynnych I Gazowych Agata Pełka,1A,Wiązowska,Emów,,05-462,yes,yes,yes,yes,
Rawski  Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen),,"Nadwiślańska, Róg",Józefów,,05-420,yes,yes,yes,yes,
Lotos Paliwa Spółka Z Ograniczoną Odpowiedzialnością,90,Nadwiślańska,Józefów,,05-410,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4327),1,Piłsudskiego,Józefów,,05-420,yes,yes,yes,yes,
Wasbruk Spółka Z Ograniczoną Odpowiedzialnością,36,Świderska,Karczew,,05-480,yes,,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 1099),1,J.Bema,Karczew,,05-480,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 796),105,1-Go Maja,Kołbiel,,05-340,yes,yes,yes,yes,
Regaz Firma Produkcyjno Handlowo Usługowa Bożenna Regmunt,86A,,,MAJDAN,05-462,,,,yes,
Empireconsortium International,92,Kołłątaja,Otwock,,05-402,,,,yes,
Punkt Sprzedaży Butli,35A,Podmiejska,Otwock,,05-402,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4328),61,Kołłątaja,Otwock,,05-400,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4464,12,Poniatowskiego,Otwock,,05-400,yes,yes,yes,yes,
"Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""Rawski"" Witold Rawski",1,Marszałkowska,Otwock,,05-402,yes,yes,yes,yes,
"Słomka  Monika Witan, Andrzej Słomka, Marian Słomka Sp.Jawna (Stacja Partnerska Marki Bp)",25,Majowa,Otwock,,05-400,yes,yes,yes,yes,
Agnieszka Rawska,41,Samorządowa,Otwock,,05-400,yes,,yes,yes,
M&M Michał Szymusik (Part. Circle),36,Szosa Lubelska,Otwock,,05-400,yes,,yes,yes,
Mgr Grupa Spółka Z Ograniczoną Odpowiedzialnością,,Radwanków,Radwanków Szlachecki,,08-443,yes,,yes,yes,
"Tadeusz Lubaszka, Łukasz Lubaszka - Wspólnicy Spółki Cywilnej",,,,WARSZAWICE,08-446,yes,,yes,yes,
"Artus Polska Spółka Jawna, T. Przychodzeń, R.Kosek",26,Majdan,Wiązowna,,05-462,yes,,yes,yes,
"Zakład Produkcyjno-Handlowo-Usługowy ""Gomuła"" Tadeusz Gomuła",65C,,,WOLA DUCKA,05-408,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4330),28,Trakt Lubelski,Wola Ducka,,05-408,yes,yes,yes,yes,
"Andrasiak-Czranecka Sp.J., (Stacja Partnerska Marki Lotos)",2,Wspaniała,Wólka Mlądzka (Otwock),,05-400,yes,yes,yes,yes,
Jaso Sp.Z O. O. Jaso Sp.Z O. O. (Stacja Franczyzowa Pkn Orlen S.A. Nr 7113),157,Solec,Baniocha,,05-532,yes,yes,yes,yes,
Nasza Stacja Paliw Stanisław Rolski,6,Polna,Gabryelin,,05-505,yes,,yes,yes,
Wadex Stacja Paliw Spółka Z Ograniczoną Odpowiedzialnością,19A,Gołkowska,Gołków,,05-502,yes,yes,yes,,
Jaso Spółka Z Ograniczoną Odpowiedzialnością (Fr. Orlen),4,Rybie,Góra Kalwaria,,05-530,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 355,52A,Grójecka,Góra Kalwaria,,05-530,yes,yes,yes,yes,
Pegas Grupa Spółka Z Ograniczoną Odpowiedzialnością,37,Wojska Polskiego,Góra Kalwaria,,05-530,yes,yes,yes,yes,
Gerpol Spółka Z Ograniczoną Odpowiedzialnoscią,121,Prosta,Kawęczynek,,05-520,yes,,yes,,
"Empireconsortium International, Stacja Paliw",,,,KONSTANCIN JEZIORNA,,,,,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 18),4,Warszawska,Konstancin-Jeziorna,,05-520,yes,yes,yes,,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością,300/302,Słoneczna,Lesznowola,,05-506,yes,yes,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,208,Aleja Krakowska,Łazy,,05-552,yes,yes,yes,yes,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością,6,Okulickiego,Piaseczno,,05-500,yes,yes,yes,yes,
"Wadex Stacja Paliw S.C. Wanda Kowalczyk, Dariusz Kazimierz Kowalczyk",,,,PIASECZNO,05-501,,,,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,5B,Okulickiego,Piaseczno,,05-500,yes,yes,yes,yes,
Bp Europa Se Spółka Europejska Oddział W Polsce,38,Puławska,Piaseczno,,05-500,yes,yes,yes,yes,
Trans-Petro-Color Sp. Z O.O.,2B,Techniczna,Piaseczno,,05-500,,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna,1,Okulickiego,Piaseczno,,05-500,yes,yes,yes,yes,
Betoland,24,Chyliczkowska,Piaseczno,,05-500,,,yes,,
Hyperoil Spółka Z Ograniczoną Odpowiedzialnoscią,46,Puławska,Piaseczno,,05-500,yes,yes,yes,,
Shell Polska Spółka Z Ograniczoną Odpowiedzialnością (Stacja Nr 1020),20,Armii Krajowej,Piaseczno,,05-500,yes,yes,yes,yes,
Amic Polska Spółka Z Ograniczoną Odpowiedzialnością,39,Puławska,Piaseczno,,05-500,yes,yes,yes,yes,
"Polskie Stacje Paliw ""Z.K. Transoil"" Spółka Z Ograniczoną Odpowiedzialnoscią Spółka Komandytowa",79,,,POTYCZ,05-530,yes,yes,yes,yes,
Spółdzielnia Usług Rolniczych W Prażmowie,57,Ryxa,Prażmów,,05-505,yes,,yes,,
Argaz Arkadiusz Domaniak,84,Franciszka Ryxa,Prażmów,,05-505,,,,yes,
"Firma Handlowo-Usługowa ""Barton"" Sylwia Barton-Kowalczyk",234,Wilanowska,Słomczyn,,05-507,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 701,15,Ks. Czesława Oszkiela,Tarczyn,,05-555,yes,yes,yes,yes,
Mitar Paweł Michalczak (Moya),46,1-Go Maja,Tarczyn,,05-555,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna Nr 4068,25,Al. Krakowska,Tarczyn,,05-555,yes,yes,yes,yes,
Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,81A,Al. Krakowska,Wólka Kosowska,,05-552,yes,,yes,yes,
Stacja Paliw Lukoil (Amic Polska Spółka Z Ograniczoną Odpowiedzialnością),215,Krakowska,Wólka Kosowska / Łazy,,05-552,yes,yes,yes,yes,
Elk-Tank Spółka Jawna A. Dudzic T. Lidak,2,Dobrzyńska,Bądkowo Kościelne,,09-414,yes,,yes,yes,
Przedsiębiorstwo Handlowo Usługowe Szteko,16,Spółdzielcza,Bielsk,,09-230,,,yes,,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 319),35,Płocka,Bielsk,,09-230,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 92),19,Wyszogrodzka,Bodzanów (Chodkowo Działki),,09-470,yes,,yes,yes,
"Jumast Stefan Chojnacki, Leonarda Chojnacka Spółka Jawna",12A,,,BULKOWO KOLONIA,09-454,yes,,yes,yes,
"Stacja Sprzedaży Paliw Aniram, Aneta Tomczyk (Part. Bp)",24,Płocka,Cekanowo,,09-472,yes,yes,yes,yes,
Stacja Lpg,,"Chylin, Gm. Mała",Chylin,,09-460,,,,yes,
F.H.U. Jarex Jerzy Zaręba,60,,,CIACHCIN NOWY,09-230,yes,,yes,yes,
"Przedsiębiorstwo Handlowo-Usługowe ""Szteko"" Mieczysław Stendur (Fr. Orlen)",72,,,CIÓŁKOWO,09-451,yes,yes,yes,yes,
Puh Remigiusz Morawski - Stacja Marki Circle K Polska Spółka Z Ograniczoną Odpowiedzialnością,1,Płońska,Drobin,,09-210,yes,yes,yes,yes,
"Przedsiębiorstwo Wielobranżowe ""Wilis"" Wiesław Lis (Fr. Orlen)",36A,Płocka,Drobin,,09-210,yes,,yes,yes,
"Andrzej Żabka Zakład Produkcyjno-Handlowy, Usługi Transportowe ""Żawakol"" Export-Import Andrzej Żabka",12,Wspólna,Gąbin,,09-530,yes,yes,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 992),18,Składkowskiego,Gąbin,,09-530,yes,yes,yes,,
"Zakład Produkcyjno-Handlowy, Usługi Transportowe ""Żawakol"" Export-Import Andrzej Żabka",5,Nowy Rynek,Gąbin,,09-530,yes,yes,yes,,
Nevada-Bis Stella Podkowska,,Góry,Góry Małe,,09-530,yes,,yes,yes,
Nevada-Bis Stella Podkowska,,,,GÓRY MAŁE,09-530,yes,,yes,yes,
Polski Koncern Naftowy Orlen Spółka Akcyjna (Stacja Nr 4204),60A,Królewska,Grodzisk Mazowiecki,,05-825,yes,,yes,yes,
