LP.;RODZAJ PODMIOTU;NAZWA;ADRES;MIEJSCOWOŚĆ;KOD POCZTOWY;WOJEWÓDZTWO;POWIAT;RON95;RON98;ON;BIOES;B20;E10;BIO2;BIO3;BIO4;LPG;CNG
4306;STACJA PALIW;KRONOX;SWOJĘCIN;SWOJĘCIN;09-317;MAZOWIECKIE;ŻUROMIŃSKI;X;;X;;;;;;;;
4307;STACJA PALIW;SKŁAD HANDLOWY LECH MAREK KALKOWSKI;SYBERIA;SYBERIA;09-304;MAZOWIECKIE;ŻUROMIŃSKI;;;;;;;;;;X;
4308;STACJA PALIW;LIBERO SP.Z O.O. (FR. ORLEN);1–GO MAJA 117;ZIELONA;09-310;MAZOWIECKIE;ŻUROMIŃSKI;X;;X;;;;;;;X;
4309;STACJA PALIW;OKRĘGOWA SPÓŁDZIELNIA MLECZARSKA W SIERPCU;TOWAROWA 5;ŻUROMIN;09-300;MAZOWIECKIE;ŻUROMIŃSKI;X;;X;;;;;;;;
4310;STACJA PALIW;ZIELONE MIASTO JAAR RECYKLING SP. Z O.O. SP.K.;LIDZBARSKA 37;ŻUROMIN;09-300;MAZOWIECKIE;ŻUROMIŃSKI;X;;X;;;;;;;X;
4311;STACJA PALIW;ZIELONE MIASTO JAAR RECYKLING SP. Z O.O. SP.K.;BOLESŁAWA PRUSA 17;ŻUROMIN;09-300;MAZOWIECKIE;ŻUROMIŃSKI;X;;X;;;;;;;X;
4312;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 356);LIDZBARSKA 62;ŻUROMIN;09-300;MAZOWIECKIE;ŻUROMIŃSKI;X;X;X;;;;;;;X;
4313;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;LIDZBRASKA 38/40;ŻUROMIN;09-300;MAZOWIECKIE;ŻUROMIŃSKI;X;X;X;;;;;;;X;
4314;STACJA PALIW;PRZEDSIĘBIORSTWO KOMUNIKACJI  SAMOCHODOWEJ W MŁAWIE S.A.;LIDZBARSKA 25;ŻUROMIN;09-300;MAZOWIECKIE;ŻUROMIŃSKI;;;X;;;;;;;;
4315;STACJA PALIW;PRZEDSIEBIORSTWO HANDLOWO USŁUGOWE "MIRPOL" MIROSŁAW STANKIEWICZ;ZAMOJSKIEGO 69;ŻUROMIN;09-300;MAZOWIECKIE;ŻUROMIŃSKI;X;X;X;;;;;;;X;
4316;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4362;GUZÓW 10A;GUZÓW;96-317;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4317;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KRZE DUŻE 22A;KRZE DUŻE;96-325;MAZOWIECKIE;ŻYRARDOWSKI;X;;X;;;;;;;X;
4318;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;TARCZYŃSKA 111B;MSZCZONÓW;96-320;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4319;STACJA PALIW;FM POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ŁUGOWA 30;MSZCZONÓW;96-320;MAZOWIECKIE;ŻYRARDOWSKI;;;X;;;;;;;;
4320;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 702;3-GO MAJA 3;MSZCZONÓW;96-320;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4321;STACJA PALIW;"RABAT" WIESŁAW BADOWSKI;AKACJOWA 12;RADZIEJOWICE;96-325;MAZOWIECKIE;ŻYRARDOWSKI;;;;;;;;;;X;
4322;STACJA PALIW;STACJA PALIW RADZIEJOWICE REKORD NIERUCHOMOŚCI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ I SPÓŁKA, SPÓŁKA KOMANDYTOWA (PART. BP);RADZIEJOWICE;RADZIEJOWICE;96-325;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4323;STACJA PALIW;STACJA PALIW SŁABOMIERZ REKORD NIERUCHOMOŚCI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ I SPÓŁKA, SPÓŁKA KOMANDYTOWA (PART. BP);ŻYRARDOWSKA 6;RADZIEJOWICE;96-325;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4324;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SŁABOMIERZ DK 50;SŁABOMIERZ;96-325;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4325;STACJA PALIW;PORT WISKITKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ (AVIA);GUZOWSKA 35;WISKITKI;96-315;MAZOWIECKIE;ŻYRARDOWSKI;X;;X;;;;;;;X;
4326;STACJA PALIW;STACJA PALIW WYMYSŁÓW REKORD NIERUCHOMOŚCI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ I SPÓŁKA, SPÓŁKA KOMANDYTOWA (PART. BP);WYMYSŁÓW;WYMYSŁÓW;96-320;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4327;STACJA PALIW;MIECZYSŁAW LEWANDOWSKI - STACJA PALIW MADOR (STACJA FRANCZYZOWA PKN ORLEN S.A.NR 7452);GRÓJECKA 2;ZBIROŻA;96-320;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4328;STACJA PALIW;ISAJ IWONA OSIAL;1-GO MAJA 88C;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;X;;X;;;;;;;X;
4329;STACJA PALIW;"MARTAS" WALDEMAR SĘKULSKI, STACJA PALIW;1-GO MAJA 63G;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;;;;;;;;;;X;
4330;STACJA PALIW;"GAZGROD"S.C. J.PIASECKI,G.RZESKI,J.OSIAL - STACJA LPG;JAKTOROWSKA 42;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;;;;;;;;;;X;
4331;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PILECKIEGO 78;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4332;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 4414;SKROWACZEWSKIEGO 58 A-D;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4333;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;CZYSTA 1A;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4334;STACJA PALIW;PRZEDSIĘBIORSTWO USŁUGOWO HANDLOWE L.K.R. NOWAKOWSCY SP. JAWNA;GLEBOWA 3;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;;;X;;;;;;;;
4335;STACJA PALIW;"PIEPRZYK FAMILY" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1-GO MAJA 61C;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;X;;X;;;;;;;X;
4336;STACJA PALIW;STACJA ZAKŁADOWA PKS GRODZISK MAZOWIECKI;MICKIEWICZA 38;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;;;X;;;;;;;;
4337;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;MICKIEWICZA  13;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4338;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 570);MICKIEWICZA 43;ŻYRARDÓW;96-300;MAZOWIECKIE;ŻYRARDOWSKI;X;X;X;;;;;;;X;
4339;STACJA PALIW;BENZOL SP.Z O.O.;GRANICZNA 7;OSTROŁĘKA;07-410;MAZOWIECKIE;OSTROŁĘKA;X;X;X;;;;;;;X;
4340;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;OBOZOWA 3;OSTROŁĘKA;07-410;MAZOWIECKIE;OSTROŁĘKA;X;X;X;;;;;;;X;
4341;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;OSTROWSKA 1;OSTROŁĘKA;07-410;MAZOWIECKIE;OSTROŁĘKA;X;X;X;;;;;;;X;
4342;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4481);GOWOROWSKA 39;OSTROŁĘKA;07-409;MAZOWIECKIE;OSTROŁĘKA;X;X;X;;;;;;;X;
4343;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA  (STACJA 4494);STACHA KONWY  3;OSTROŁĘKA;07-400;MAZOWIECKIE;OSTROŁĘKA;X;X;X;;;;;;;X;
4344;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 1539);I ARMII WOJSKA POLSKIEGO 7;OSTROŁĘKA;07-401;MAZOWIECKIE;OSTROŁĘKA;X;X;X;;;;;;;X;
4345;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;WITOSA 5;OSTROŁĘKA;07-410;MAZOWIECKIE;OSTROŁĘKA;X;X;X;;;;;;;X;
4346;STACJA PALIW;AUTO-BENZ STACJA PALIW ST Z GIZIŃSCY I B KACZYŃSKA SP J;GOWOROWSKA  60;OSTROŁĘKA;07-400;MAZOWIECKIE;OSTROŁĘKA;X;X;X;;;;;;;X;
4347;STACJA PALIW;STACJA PALIW PPHU "OKTAN" A.PYSZNY, Z.G.PYSZNA S.J.;TARGOWA  6;OSTROŁĘKA;07-400;MAZOWIECKIE;OSTROŁĘKA;X;;X;;;;;;;X;
4348;STACJA PALIW;POCZTA POLSKA S.A.;TARGOWA  24;OSTROŁĘKA;07-400;MAZOWIECKIE;OSTROŁĘKA;X;X;X;;;;;;;;
4349;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ŻEBROWSKIEGO 12;OSTROŁĘKA;07-410;MAZOWIECKIE;OSTROŁĘKA;X;X;X;;;;;;;X;
4350;STACJA PALIW;PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE "MARGO" KRZYSZTOF MARKOWSKI;PORTOWA 10;PŁOCK;09-401;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4351;STACJA PALIW;STACJA LPG;PRZEMYSŁOWA 7;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4352;STACJA PALIW;STACJA LPG;PRZEMYSŁOWA 509/2, 402;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4353;STACJA PALIW;PPH MARK-GAZ MARKUSZEWSKI MIECZYSŁAW;STEFANA BANACHA 10;PŁOCK;09-407;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4354;STACJA PALIW;STACJA MAJEWSKI ROBERT;ZAJĘCZA 13;PŁOCK;09-402;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4355;STACJA PALIW;STACJA PALIW ORLEN GAZ  SP. Z O.O.;DŁUGA  1;PŁOCK;09-411;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4356;STACJA PALIW;STACJA LPG;DOBRZYŃSKA 47;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4357;STACJA PALIW;STACJA LPG;DOBRZYŃSKA 62;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4358;STACJA PALIW;STACJA LPG;FLORIANA KOBYLIŃSKIEGO;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4359;STACJA PALIW;PPHU BUSAL SP. Z O.O. , STACJA GAZOWA;HARCERSKA  89;PŁOCK;09-408;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4360;STACJA PALIW;STACJA LPG;HENRYKA SIENKIEWICZA;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4361;STACJA PALIW;STACJA LPG;KAZIMIERZA WIELKIEGO 38B;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4362;STACJA PALIW;BIO TRADING SPÓŁKA CYWILNA;KOLEJOWA 8;PŁOCK;09-402;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4363;STACJA PALIW;PPH MARK-GAZ MARKUSZEWSKI MIECZYSŁAW;KOLEJOWA 48;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4364;STACJA PALIW;STACJA LPG;MIODOWA 1;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;;;;;;;;;;X;
4365;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;OTOLIŃSKA 2;PŁOCK;09-407;MAZOWIECKIE;PŁOCK;X;;X;;;;;;;;
4366;STACJA PALIW;AUTOCENTRUM PALIWA SPÓŁA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA;CHEMIKÓW 5;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;X;;X;;;;;;;X;
4367;STACJA PALIW;"WASBRUK" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (MOYA);PORTOWA 15;PŁOCK;09-401;MAZOWIECKIE;PŁOCK;X;;X;;;;;;;X;
4368;STACJA PALIW;GET GIERZYŃSKI SPÓŁKA JAWNA (PART. BP);KUTNOWSKA 47;PŁOCK;09-402;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4369;STACJA PALIW;SHELL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (STACJA NR 1218);PRZEMYSŁOWA 5;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4370;STACJA PALIW;ORLEN SPÓŁKA AKCYJNA NR 4203;WYSZOGRODZKA 150;PŁOCK;09-411;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4371;STACJA PALIW;"KOMUNKIACJA MIEJSKA-PŁOCK" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;PRZEMYSŁOWA 17;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;X;;X;;;;;;;;
4372;STACJA PALIW;BUDMAT TRANSPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (FR. ORLEN);TARGOWA 4;PŁOCK;09-411;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4373;STACJA PALIW;AUTOCENTRUM PALIWA SPÓŁA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA (FR. ORLEN);DOBRZYŃSKA 56;PŁOCK;09-411;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4374;STACJA PALIW;POCZTA POLSKA SPÓŁKA AKCYJNA;PRZEMYSŁOWA 19;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;;
4375;STACJA PALIW;STACHOWICZ I ŚWITALSKI SPÓŁKA JAWNA (FR. ORLEN);BIELSKA 68;PŁOCK;09-402;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4376;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;WYSZOGRODZKA 116;PŁOCK;09-410;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4377;STACJA PALIW;MEGA-TECH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SIERPECKA 1;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;X;;X;;;;;;;X;
4378;STACJA PALIW;ORLEN SPÓŁKA AKCYJNA NR 4353;CHEMIKÓW 4;PŁOCK;09-411;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4379;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4032);KOLEJOWA 46;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4380;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4019);WYSZOGRODZKA 123;PŁOCK;09-409;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4381;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4020);ŁUKASIEWICZA 15;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;X;
4382;STACJA PALIW;STU PŁOCK SP.Z O.O.;PRZEMYSŁOWA 21;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;X;X;X;;;;;;;;
4383;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;BIELSKA 61A;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;X;;X;;;;;;;X;
4384;STACJA PALIW;MAREK WASOWSKI IWMAR;BIELSKA 60;PŁOCK;09-400;MAZOWIECKIE;PŁOCK;X;;X;;;;;;;;
4385;STACJA PALIW;SŁAWOMIR ROLA;GACKIEGO 2;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4386;STACJA PALIW;ANDRZEJ LIPIEC;GODOWSKA 89B;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4387;STACJA PALIW;JACEK POŻYCZKA;GOŁĘBIOWSKA 127;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4388;STACJA PALIW;TADEUSZ FRYKOWSKI;GRZEBIENIOWA;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4389;STACJA PALIW;JÓZEF  WASIL;WOLANOWSKA 43;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4390;STACJA PALIW;„IMPORT-EXPORT”WOJCIECH RUSAK;WOLANOWSKA 98;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4391;STACJA PALIW;„MARIMPEX”;WROCŁAWSKA 8;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4392;STACJA PALIW;„LIDER” ROBERT GĘDAJ, S. DĄBROWSKI, E. KRAWCZYK;WYŚCIGOWA 17;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4393;STACJA PALIW;MARCIN SOBIERAJ AUTO-GMS;ZBROWSKIEGO;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4394;STACJA PALIW;MAREK WAWRZAK –” MARKO PLUS”;ZÓŁKIEWSKIEGO;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4395;STACJA PALIW;ANDRZEJ SOBIERAJ;ZÓŁKIEWSKIEGO/CHROBREGO;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4396;STACJA PALIW;JACEK BARAŃSKI;11-GO LISTOPADA 65;RADOM;26-605;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4397;STACJA PALIW;IRENEUSZ WINIARSKI RADOM  „MOTOR-GAZ”;1905-GO ROKU  27/29;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4398;STACJA PALIW;ARKADIUSZ WĘGLIŃSKI LESZEK SZYMAŃSKI - WSPÓLNICY SPÓŁKI CYWILNEJ;AL. WOJSKA POLSKIEGO 39;RADOM;26-603;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4399;STACJA PALIW;STEFAN KASPERCZYK;AL. WOJSKA POLSKIEGO;RADOM;26-603;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4400;STACJA PALIW;BOGUMIŁA MĄKOSA;BRZUSTOWSKA 2/4;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4401;STACJA PALIW;EWA SKÓRA;KIELECKA;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4402;STACJA PALIW;„PETROTRANSCHEM”SP.Z O.O.;KIELECKA 153;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4403;STACJA PALIW;WOJCIECH WÓJCIK;KIELECKA 80;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4404;STACJA PALIW;ARKADIUSZ WĘGLIŃSKI;KOZIENICKA 165;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4405;STACJA PALIW;MARIUSZ WĘGLIŃSKI;KOZIENICKA 48;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4406;STACJA PALIW;MOTOR-GAZ SP.JAWNA W.KACPERCZYK, I.WŁODARCZYK;KWIATKOWSKIEGO/GRZECZNAROWSKIEGO;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4407;STACJA PALIW;ARKADIUSZ WĘGLIŃSKI;LIMANOWSKIEGO;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4408;STACJA PALIW;ZBIGNIEW KWIECIEŃ;LIMANOWSKIEGO 97;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4409;STACJA PALIW;JAROSŁAW CELNIAK AUTO GAZ CELNIAK JAROSŁAW;LUBELSKA 74B;RADOM;26-600;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4410;STACJA PALIW;SP.CYWILNA „MAZBIW” ZBIGNIEW I WOJCIECH KIBLER;MARATOŃSKA 67;RADOM;26-600;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4411;STACJA PALIW;AGNIESZKA KRÓLIKOWSKA;MARATOŃSKA 10;RADOM;26-000;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4412;STACJA PALIW;BEATA I KRZYSZTOF KAROLIK;MIESZKA I 18;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4413;STACJA PALIW;MOTOR-GAZ S.C. W.KACPERCZYK, I.WŁODARCZYK;MŁODZIANOWSKA/CZARNA;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4414;STACJA PALIW;STANISŁAW MARKIEWICZ;RYBNA 8;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4415;STACJA PALIW;APOLONIA DURALSKA BOŻENA I WALDEMAR ZIĘTKOWSCY;SŁOWACKIEGO 138;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4416;STACJA PALIW;MARCIN RUTA;SŁOWACKIEGO;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4417;STACJA PALIW;RYSZARD LEŚNIEWSKI R;SŁOWACKIEGO 281/2;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4418;STACJA PALIW;PHU „KOSCAN II” AUTO-GAZ-SERWIS J.KOZERA I M.KOZERA;SŁOWACKIEGO 257;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4419;STACJA PALIW;EDYTA I MIROSŁAW ZIĘBA;SŁOWACKIEGO 340;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4420;STACJA PALIW;WOJCIECH PIETRASIK RADOM DARIUSZ ZDRAL;STAROMIEJSKA 1/5;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4421;STACJA PALIW;PHU S.C.”KING” DARIUSZ WĘGRZYCKI;SYCYŃSKA 27;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4422;STACJA PALIW;KAZIMIERZ HERNIK;ŚWIERKOWA 30;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4423;STACJA PALIW;MARIAN JANISZEK I WSPÓLNICY SP.JAWNA „MAR-ROM”;TOKARSKA 3;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4424;STACJA PALIW;BOGUMIŁA BILSKA;TORUŃSKA;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4425;STACJA PALIW;GRZEGORZ KOBZA;WARSZAWSKA 172;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4426;STACJA PALIW;DARIUSZ SROKA;WARSZAWSKA 212;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4427;STACJA PALIW;ARKADIUSZ WĘGLIŃSKI LESZEK SZYMAŃSKI - WSPÓŁNICY SPÓŁKI CYWILNEJ;WERNERA 29/31;RADOM;26-600;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4428;STACJA PALIW;M. IWAŃSKA, R. IWAŃSKI, M. I T. KOWALCZYK;WIERZBICKA;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4429;STACJA PALIW;P.H. USŁUGOWO-TRANSPORTOWE ARTUR NOGAJ , DANUTA NOGAJ, JAROSŁAW PIELACHA;WIERZBICKA 46;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4430;STACJA PALIW;WŁADYSŁAW SOBÓL;WIERZBICKA/POTOKOWEJ;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4431;STACJA PALIW;PHU „KOSCAN II” AUTO-GAZ SERWIS J.KOZERA, M.KOZERA;WJAZDOWA;RADOM;;MAZOWIECKIE;RADOM;;;;;;;;;;X;
4432;STACJA PALIW;"GREG-MAR" G.GLISZCZYŃSKI I WSPÓLNIK SPÓŁKA JAWNA;WOLANOWSKA 135A;RADOM;26-601;MAZOWIECKIE;RADOM;X;;X;;;;;;;X;
4433;STACJA PALIW;ORLEN SPÓŁKA AKCYJNA NR 15;STRUGA 102;RADOM;26-600;MAZOWIECKIE;RADOM;X;X;X;;;;;;;X;
4434;STACJA PALIW;ANWIM SPÓŁKA AKCYJNA (MOYA);STANISŁAWA WERNERA/MIRECKIEGO 14;RADOM;26-600;MAZOWIECKIE;RADOM;X;;X;;;;;;;;
4435;STACJA PALIW;TYXON AUTOMOTIVE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;CZARNIECKIEGO 45;RADOM;26-600;MAZOWIECKIE;RADOM;X;;X;;;;;;;;
4436;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;KELLES-KRAUZA 1B;RADOM;26-600;MAZOWIECKIE;RADOM;X;X;X;;;;;;;X;
4437;STACJA PALIW;CIRCLE K POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;STRUGA 69;RADOM;26-610;MAZOWIECKIE;RADOM;X;;X;;;;;;;X;
4438;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA NR 1409;GRZECZNAROWSKIEGO 46;RADOM;26-600;MAZOWIECKIE;RADOM;X;X;X;;;;;;;X;
4439;STACJA PALIW;MOL POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;SŁOWACKIEGO 177;RADOM;26-600;MAZOWIECKIE;RADOM;X;;X;;;;;;;X;
