LP.;RODZAJ PODMIOTU;NAZWA;ADRES;MIEJSCOWOŚĆ;KOD POCZTOWY;WOJEWÓDZTWO;POWIAT;RON95;RON98;ON;BIOES;B20;E10;BIO2;BIO3;BIO4;LPG;CNG
82;STACJA PALIW;LOTOS PALIWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;JELENIOGÓRSKA 21;BOLKÓW;59-420;DOLNOŚLĄSKIE;JAWORSKI;X;;X;;;;;;;X;
83;STACJA PALIW;POLSKI KONCERN NAFTOWY ORLEN SPÓŁKA AKCYJNA (STACJA NR 4275);WYSOKOGÓRSKA 12;BOLKÓW;59-420;DOLNOŚLĄSKIE;JAWORSKI;X;X;X;;;;;;;X;
84;STACJA PALIW;ORLEN SPÓŁKA AKCYJNA NR STACJI 305;KUZIENNICZA 2;JAWOR;59-400;DOLNOŚLĄSKIE;JAWORSKI;X;X;X;;;;;;;X;
85;STACJA PALIW;OMEGA PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ;KUZIENNICZA 17;JAWOR;59-400;DOLNOŚLĄSKIE;JAWORSKI;X;X;X;;;;;;;X;
86;STACJA PALIW;P.H.U. "MULLER" B.H.R. MULLER, U. JAROSZ SPÓŁKA JAWNA;WYSZYŃSKIEGO 14C;JAWOR;59-400;DOLNOŚLĄSKIE;JAWORSKI;X;X;X;;;;;;;X;
87;STACJA PALIW;PS 369 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA (STACJA FRANCZYZOWA PKN ORLEN S.A. NR 7284);SZPITALNA 7;JAWOR;59-400;DOLNOŚLĄSKIE;JAWORSKI;X;X;X;;;;;;;X;
88;STACJA PALIW;PRZEDSIĘBIORSTWO WIELOBRANŻOWE  "PIEPRZYK" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;MAŁUSZÓW 67;MAŁUSZÓW (MĘCINKA);59-424;DOLNOŚLĄSKIE;JAWORSKI;X;X;X;;;;;;;X;
89;STACJA PALIW;“POLLEX” SP. Z O. O.;MŚCIWOJÓW 4A;MŚCIWOJÓW;59-407;DOLNOŚLĄSKIE;JAWORSKI;;;;;;;;;;X;
90;STACJA PALIW;BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE;NIEDASZÓW 7;NIEDASZÓW;59-407;DOLNOŚLĄSKIE;JAWORSKI;X;X;X;;;;;;;X;
91;STACJA PALIW;PRZEDSIĘBIORSTWO ROLNE ADRIANA WĘGLEWSKIEGO ADRIAN WĘGLEWSKI;PASZOWICE 49;PASZOWICE;59-411;DOLNOŚLĄSKIE;JAWORSKI;X;X;X;;;;;;;X;
