Latitude          , Longitude         , NAME
50.01854893751442 , 20.169609719887376, Podłęże P+R Północ
50.016809030687064, 20.177443292025835, Podłęże Ogrodowa - Trawniki
50.02065374753376 , 20.18534747039967 , Podłęże GLP
50.02680615473425 , 20.19170977440586 , Niepołomice Wimmera-Kwiatkowskiego
50.03106554129377 , 20.195915478109622, Niepołomice Osiedle Wimmera
50.0249017        , 20.1715848        , Podłęże PSZOK
50.02528979999999 , 20.1774858        , Podłęże Trefl
50.0301358        , 20.1783809        , Niepołomice Diesla MAN
50.0339573        , 20.1883502        , Niepołomice Diesla
50.0334485        , 20.1927233        , Niepołomice Wodna
50.0311122        , 20.1979508        , Niepołomice Płaszowska
50.031728882446224, 20.201711731789523, Niepołomice Kopiec Grunwaldzki
50.03304728952284 , 20.206596491876784, Niepołomice Grunwaldzka
50.03335011408626 , 20.21635205574632 , Niepołomice Rynek
50.038175388360806, 20.2162969655096  , Niepołomice Dworzec
50.01854893751442 , 20.169609719887376, Podłęże P+R Północ
50.016843         , 20.176762         , Podłęże Ogrodowa - Trawniki
50.01646352870273 , 20.18071292657601 , Staniątki Wiadukt
50.0193977663782  , 20.192223309355303, Niepołomice Wielicka
50.020927533845196, 20.196759847329   , Niepołomice ul. Komandosów
50.02005570994224 , 20.202068631284334, Niepołomice Pilotów Przedszkole
50.024718296071626, 20.207521266627097, Niepołomice Czerwonych Beretów
50.02730837907028 , 20.209550114529954, Niepołomice Wrzosowa
50.02910727346638 , 20.2135305126609  , Niepołomice Cmentarz
50.029426357065674, 20.219696215994055, Niepołomice Pływalnia
50.030941708675236, 20.220093314180893, Niepołomice Bocheńska Apteka
50.03335011408626 , 20.21635205574632 , Niepołomice Rynek
50.03497240931093 , 20.212165366025843, Niepołomice Młyńska SP2
50.038175388360806, 20.2162969655096  , Niepołomice Dworzec
50.04418525410315 , 20.212154997588797, Niepołomice Kolejowa
50.04366605987818 , 20.209106353190492, Niepołomice Portowa
50.042314146895286, 20.199823104870067, Niepołomice Portowa Plac Zabaw
50.04311956465244 , 20.194416297599673, Niepołomice Portowa - Skarbowa
50.04299776573357 , 20.1842901196818  , Niepołomice Portowa - Wałowa
50.04294905856408 , 20.178623647024914, Niepołomice Portowa - Jasna
50.040890351338156, 20.1728121787923  , Niepołomice Portowa - Kątek
50.04097177876561 , 20.166020010699047, Niepołomice Pasternik
50.03893803773874 , 20.151862057084294, Niepołomice Podgrabie
50.038213         , 20.149726         , Niepołomice Podgrabie OSP
50.01854893751442 , 20.169609719887376, Podłęże P+R Północ
50.016809030687064, 20.177443292025835, Podłęże Ogrodowa - Trawniki
50.01909942891616 , 20.19129943855289 , Niepołomice Wielicka
50.02097084386933 , 20.196808676111967, Niepołomice ul. Komandosów
50.020106151410474, 20.201925306386183, Niepołomice Pilotów Przedszkole
50.02418755599288 , 20.206934818658095, Niepołomice Czerwonych Beretów
50.027087820332454, 20.209303351306172, Niepołomice Wrzosowa
50.02918308745893 , 20.213659258690697, Niepołomice Cmentarz
50.030209311505594, 20.22088451349343 , Niepołomice Pływalnia
50.03335011408626 , 20.21635205574632 , Niepołomice Rynek
50.038175388360806, 20.2162969655096  , Niepołomice Dworzec
50.04386615182525 , 20.21231732676129 , Niepołomice Kolejowa
50.04375062314318 , 20.209325859771393, Niepołomice Portowa
50.04222864306061 , 20.19996845043102 , Niepołomice Portowa Plac Zabaw
50.04301837261532 , 20.194676082873606, Niepołomice Portowa - Skarbowa
50.042867058015645, 20.184573157867202, Niepołomice Portowa - Wałowa
50.042974839039225, 20.178769251015137, Niepołomice Portowa - Jasna
50.04083930152689 , 20.173156330762154, Niepołomice Portowa - Kątek
50.04088544721027 , 20.16737352452396 , Niepołomice Pasternik
50.03862204273153 , 20.150270616646228, Niepołomice Podgrabie
50.03598046615337 , 20.144874335689156, Niepołomice Niepołomicka
50.033501         , 20.14835          , Niepołomice Podgrabie Błonie
50.03482282401729 , 20.14909393675002 , Niepołomice Sportowa - Torowa
50.038213         , 20.149726         , Niepołomice Podgrabie OSP
50.038175388360806, 20.2162969655096  , Niepołomice Dworzec
50.04556757734438 , 20.215138420971815, Niepołomice Akacjowa
50.042044082656496, 20.222637578845024, Niepołomice Na Tamie Mrówka
50.046747301515744, 20.227402389930397, Niepołomice Prosta - Słoneczna
50.05161018562321 , 20.22666495032024 , Niepołomice Prosta - Powiśle
50.05214916197715 , 20.230990143974697, Niepołomice Powiśle - Flisaków
50.05080437493576 , 20.23708358508561 , Niepołomice Powiśle - Słoneczna
50.0481167289623  , 20.2430726739087  , Niepołomice Słoneczna - Wroniarka
50.04675603732996 , 20.24612523614476 , Niepołomice Słoneczna
50.053117685525976, 20.25754529234615 , Wola Batorska Ruskie
50.04646214901838 , 20.245548868485336, Niepołomice Słoneczna
50.04320861338554 , 20.236906988976997, Niepołomice Jazy
50.041470790564716, 20.238447229217535, Niepołomice Suszówka Kościół
50.037662112340946, 20.246571019215896, Niepołomice Suszówka SP4
50.034005         , 20.240046         , Niepołomice Ples Przedszkole
50.03020931591087 , 20.2378267807301  , Niepołomice Ples - Grzybowa
50.02950032381803 , 20.231673939867818, Niepołomice Droga Królewska - Myśliwska
50.030941708675236, 20.220093314180893, Niepołomice Bocheńska Apteka
50.03335011408626 , 20.21635205574632 , Niepołomice Rynek
50.03335011408626 , 20.21635205574632 , Niepołomice Rynek
50.030714180320494, 20.221759071573615, Niepołomice Bocheńska Apteka
50.02919294964795 , 20.23231691090636 , Niepołomice Droga Królewska - Myśliwska
50.03014          , 20.238018         , Niepołomice Ples - Grzybowa
50.034686         , 20.23977          , Niepołomice Ples Przedszkole
50.037662112340946, 20.246571019215896, Niepołomice Suszówka SP4
50.04148106751216 , 20.238627335766072, Niepołomice Suszówka Kościół
50.0436400156826  , 20.240048459428873, Niepołomice Jazy
50.04675603732996 , 20.24612523614476 , Niepołomice Słoneczna
50.053117685525976, 20.25754529234615 , Wola Batorska Ruskie
50.04646214901838 , 20.245548868485336, Niepołomice Słoneczna
50.04781504931062 , 20.243275089296443, Niepołomice Słoneczna - Wroniarka
50.051134866237625, 20.236330939289545, Niepołomice Powiśle - Słoneczna
50.05218554639626 , 20.230658991727903, Niepołomice Powiśle - Flisaków
50.051362345552164, 20.22657197143697 , Niepołomice Prosta - Powiśle
50.04634024591117 , 20.22668147893445 , Niepołomice Prosta - Słoneczna
50.04204992523108 , 20.222475266141924, Niepołomice Na Tamie Mrówka
50.045774273900335, 20.215331542143442, Niepołomice Akacjowa
