Lp. , Nazwa Muzeum , Kod pocztowy , Miejscowość , ul/plac/aleja, Ulica , nr budynku, nr lokalu, adres dodatkowy , Nazwa Organizatora , Data wpisu do Państwowego Rejestru Muzeów, Data wykreślenia z Państwowego Rejestru Muzeów, , , , , Uwagi
46. , Muzeum Okręgowe im. Stanisława Staszica w Pile , 64-920 ul. Browarna 5 , Piła , ul. , Browarna , 5 , , , Województwo Wielkopolskie , 28.12.1998 , , , , , , 
47. , Muzeum Archeologiczne w Poznaniu , 61-781 ul. Wodna 27 , Poznań , ul. , Wodna , 27 , , , Województwo Wielkopolskie , 28.12.1998 , , , , , , 
48. , Muzeum - Zamek w Łańcucie , 37-100 ul. Zamkowa 1 , Łańcut , ul. , Zamkowa , 1 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Podkarpackie" , 28.12.1998 , , , , , , 
49. , Muzeum Narodowe w Lublinie , 20-117 ul. Zamkowa 9 , Lublin , ul. , Zamkowa , 9 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Lubelskie" , 28.12.1998 , , , , , , 
50. , Muzeum Śląska Opolskiego w Opolu , 45-023 ul. św. Wojciecha 13 , Opole , ul. , św. Wojciecha , 13 , , , Województwo Opolskie , 28.12.1998 , , , , , , 
51. , Muzeum Wsi Opolskiej w Opolu , 45-835 ul. Wrocławska 174 , Opole , ul. , Wrocławska , 174 , , , Województwo Opolskie , 28.12.1998 , , , , , , 
52. , Muzeum Azji i Pacyfiku w Warszawie , 00-403 ul. Solec 24 , Warszawa , ul. , Solec , 24 , , , Województwo Mazowieckie , 28.12.1998 , , , , , , 
53. , Muzeum Sztuki w Łodzi , 90-734 ul. Więckowskiego 36 , Łódź , ul. , Więckowskiego , 36 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Łódzkie" , 28.12.1998 , , , , , , 
54. , Muzeum Pierwszych Piastów na Lednicy , 62-261 ul. Dziekanowice 32 , Lednogóra , ul. , Dziekanowice , 32 , , , Samorząd Województwa Wielkopolskiego , 28.12.1999 , , , , , , 
55. , Muzeum im. ks. dr. Władysława Łęgi w Grudziądzu , 86-300 ul. Wodna 3/5 , Grudziądz , ul. , Wodna , 3 , 5, , Gmina - Miasto Grudziądz , 28.12.1999 , , , , , , 
56. , Muzeum Wsi Kieleckiej w Kielcach , 25-025 ul. Jana Pawła II 6 , Kielce , ul. , Jana Pawła II , 6 , , , "Województwo Świętokrzyskie, Minister Rolnictwa i Rozwoju Wsi " , 28.12.1999 , , , , , , 
57. , Narodowe Muzeum Morskie w Gdańsku , 80-751 ul. Ołowianka 9-13 , Gdańsk , ul. , Ołowianka , 9 , 13, , Minister Kultury i Dziedzictwa Narodowego , 28.12.1999 , , , , , , 
58. , Muzeum Wojska Polskiego w Warszawie , 00-495 Al.. Jerozolimskie 3 , Warszawa , Al. , Jerozolimskie , 3 , , , Minister Obrony Narodowej , 28.12.1999 , , , , , , 
59. , Muzeum Ludowych Instrumentów Muzycznych w Szydłowcu , 26-500 ul. gen. J. Sowińskiego 2 , Szydłowiec , ul. , gen. J. Sowińskiego , 2 , , , Samorząd Województwa Mazowieckiego , 28.12.1999 , , , , , , 
60. , Muzeum w Łowiczu , 99-400 ul. Stary Rynek 5/7 , Łowicz , ul. , Stary Rynek , 5 , 7, , "Powiat Łowicki, Minister Rolnictw a i Rozwoju Wsi " , 28.12.1999 , , , , , , 
61. , Muzeum Zamkowe w Sandomierzu , 27-600 ul. Zamkowa 12 , Sandomierz , ul. , Zamkowa , 12 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Świętokrzyskie, " , 28.12.1999 , , , , , , 
63. , Muzeum Literatury im. Adama Mickiewicza w Warszawie , 00-272 ul. Rynek Starego Miasta 20 , Warszawa , ul. , Rynek Starego Miasta , 20 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Mazowieckie" , 25.01.2001 , , , , , , 
64. , Muzeum Mazowsza Zachodniego w Żyrardowie , 96-300 ul. Karola Dittricha 1 , Żyrardów , ul. , Karola Dittricha , 1 , , , Powiat Żyrardowski , 25.01.2001 , , , , , , 
65. , Muzeum Kaszubskie im. Franciszka Tredera w Kartuzach , 83-300 ul. Kościerska 1 , Kartuzy , ul. , Kościerska , 1 , , , Gmina Kartuzy , 25.01.2001 , , , , , , 
66. , Muzeum Warszawy , 00-272 ul. Rynek Starego Miasta 28-42 , Warszawa , ul. , Rynek Starego Miasta , 28 , 42, , Miasto Stołeczne Warszawa , 14.12.2001 , , , , , , 
67. , Muzeum Wsi Lubelskiej w Lublinie , 20-824 al. Warszawska 96 , Lublin , al. , Warszawska , 96 , , , Województwo Lubelskie i Minister Rolnictwa i Rozwoju Wsi , 14.12.2001 , , , , , , 
68. , Muzeum Historyczno-Archeologiczne w Ostrowcu Świętokrzyskim , 27-400 ul. Świętokrzyska 37 , Sudół , ul. , Świętokrzyska , 37 , , , "Minister Kultury i Dziedzictwa Narodowego, Powiat Ostrowiecki" , 14.12.2001 , , , , , , 
69. , Muzeum Ziemi Kłodzkiej w Kłodzku , 57-300 ul. Łukasiewicza 4 , Kłodzko , ul. , Łukasiewicza , 4 , , , Gmina Miasto Kłodzko , 14.12.2001 , , , , , , 
70. , Prywatne Muzeum Motoryzacji i Techniki w Otrębusach , 05-805 ul. Warszawska 21 , Otrębusy k/Warszawy, ul. , Warszawska , 21 , , , "Joanna Mikiciuk, Izabella Mikiciuk, Patryk Mikiciuk" , 14.12.2001 , , , , , , 
71. , "Muzeum- Kaszubski Park Etnograficzny im. Teodory i Izydora Gulgowskich we Wdzydzach Kiszewskich ", 83-406 Wdzydze Kiszewskie , Wąglikowice , , Wdzydze Kiszewskie , , , , Województwo Pomorskie , 28.11.2002 , , , , , , 
72. , Muzeum Ziemi Tarnowskiej , 33-100 ul. Rynek 3 , Tarnów , ul. , Rynek , 3 , , , Województwo Małopolskie , 28.11.2002 , , , , , , 
73. , Muzeum Porcelany w Wałbrzychu , 58-300 ul. 1 Maja 9 , Wałbrzych , ul. , 1 Maja , 9 , , , Gmina Wałbrzych , 28.11.2002 , , , , , , 
74. , Muzeum Podlaskie w Białymstoku , 15-426 ul. Rynek Kościuszki 10 , Białystok , ul. , Rynek Kościuszki , 10 , , , Województwo Podlaskie , 18.12.2003 , , , , , , 
75. , Muzeum Podkarpackie w Krośnie , 38-400 ul. Piłsudskiego 16 , Krosno , ul. , Piłsudskiego , 16 , , , Województwo Podkarpackie , 18.12.2003 , , , , , , 
76. , Muzeum Narodowe w Gdańsku , 80-822 ul. Toruńska 1 , Gdańsk , ul. , Toruńska , 1 , , , "Minister Kultury i Dziedzictwa Narodowego, Województwo Pomorskie" , 18.12.2003 , , , , , , 
77. , Muzeum Ziemi Wieluńskiej w Wieluniu , 98-300 ul. Narutowicza 13 , Wieluń , ul. , Narutowicza , 13 , , , Gmina Wieluń , 18.12.2003 , , , , , , 
