Numer stacji;Nazwa stacji;Współrzędne1;Współrzędne2;Liczba stojaków
15280;Czarnuszkowa/Waniliowa;51.18079;16.999845;10
15281;Bierutowska;51.152216;17.13217;10
15279;Ziemniaczana/Boiskowa;51.047299;17.091358;5
15282;Lekarska/Żmigrodzka;51.161667;17.027766;10
15283;Starodębowa (Wrocław Pawłowice);51.168502;17.109124;10
15284;Ostrowskiego;51.095298;16.971707;10
15288;Gnieźnieńska / Długa;51.122409;17.012313;
15291;Maślicka / Brodnicka;51.153259;16.939513;
15293;Bogatyńska / Turoszowska;51.153669;16.944094;
15294;Ibn Siny Awicenny (Wrocław Zachodni);51.090573;16.950684;
15295;Grapowa;51.061535;17.065717;
15296;Wrocław Osobowice;51.166775;16.997604;5
15302;Bielany Wrocławskie Kolejowa P&R;51.03795;16.976374;10
15303;Wysoka Nastrojowa;51.052835;17.003956;10
15304;Mokronos Górny PKP;51.078886;16.908149;10
15305;Smolec;51.087048;16.911286;10
15306;Psary;51.182349;17.026957;10
