official_name,short_name,addr:postcode,addr:city,addr:street,addr:housenumber,opening_hours,operator,__id
Zakład Ubezpieczeń Społecznych - Inspektorat w Katowicach,Inspektorat ZUS w Katowicach,40-018,Katowice,Gen. J. L. Sowińskiego,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Chorzowie,-77907875
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Mysłowicach,Biuro Terenowe ZUS w Mysłowicach,41-400,Mysłowice,Kacza,6,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Chorzowie,-1044418457
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Rudzie Śląskiej,Biuro Terenowe ZUS w Rudzie Śląskiej,41-709,Ruda Śląska,Niedurnego,75,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Chorzowie,-610388260
Zakład Ubezpieczeń Społecznych - Oddział w Chrzanowie,Oddział ZUS w Chrzanowie,32-500,Chrzanów,Oświęcimska,14,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-468253487
Zakład Ubezpieczeń Społecznych - Inspektorat w Olkuszu,Inspektorat ZUS w Olkuszu,32-300,Olkusz,Al. 1000-lecia,11,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Chrzanowie,-43234008
Zakład Ubezpieczeń Społecznych - Inspektorat w Oświęcimiu,Inspektorat ZUS w Oświęcimiu,32-600,Oświęcim,Chopina,13,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Chrzanowie,-595098660
Zakład Ubezpieczeń Społecznych - Inspektorat w Suchej Beskidzkiej,Inspektorat ZUS w Suchej Beskidzkiej,34-200,Sucha Beskidzka,Rynek,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Chrzanowie,-387482119
Zakład Ubezpieczeń Społecznych - Inspektorat w Wadowicach,Inspektorat ZUS w Wadowicach,34-100,Wadowice,Teatralna,3,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Chrzanowie,-162945790
Zakład Ubezpieczeń Społecznych - Oddział w Częstochowie,Oddział ZUS w Częstochowie,42-218,Częstochowa,Dąbrowskiego,43/45,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-177772786
Zakład Ubezpieczeń Społecznych - Inspektorat w Kłobucku,Inspektorat ZUS w Kłobucku,42-100,Kłobuck,Targowa 3,a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Częstochowie,-741486468
Zakład Ubezpieczeń Społecznych - Inspektorat w Lublińcu,Inspektorat ZUS w Lublińcu,42-700,Lubliniec,Oleska,26,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Częstochowie,-776380104
Zakład Ubezpieczeń Społecznych - Inspektorat w Myszkowie,Inspektorat ZUS w Myszkowie,42-300,Myszków,Sikorskiego,57,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Częstochowie,-177646460
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Koniecpolu,Biuro Terenowe ZUS w Koniecpolu,42-230,Koniecpol,Rynek,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Częstochowie,-266906290
Zakład Ubezpieczeń Społecznych - Oddział w Elblągu,Oddział ZUS w Elblągu,08.-30,Elbląg,Teatralna,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-451452344
Zakład Ubezpieczeń Społecznych - Inspektorat w Iławie,Inspektorat ZUS w Iławie,14-202,Iława,Wiejska,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Elblągu,-841511485
Zakład Ubezpieczeń Społecznych - Inspektorat w Ostródzie,Inspektorat ZUS w Ostródzie,14-100,Ostróda,Czarnieckiego,50,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Elblągu,-435913870
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Braniewie,Biuro Terenowe ZUS w Braniewie,14-500,Braniewo,Morska,30D,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Elblągu,-351080742
Zakład Ubezpieczeń Społecznych - Oddział w Gdańsku,Oddział ZUS w Gdańsku,08.-74,Gdańsk,Chmielna,27/33,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-309076168
Zakład Ubezpieczeń Społecznych - Inspektorat Gdańsk-Wrzeszcz,Inspektorat ZUS Gdańsk-Wrzeszcz,08.-21,Gdańsk-Wrzeszcz,Tuwima,9,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-249386252
Zakład Ubezpieczeń Społecznych - Inspektorat w Gdyni,Inspektorat ZUS w Gdyni,08.-36,Gdynia,Władysława IV,24,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-952578383
Zakład Ubezpieczeń Społecznych - Inspektorat w Kartuzach,Inspektorat ZUS w Kartuzach,08.-30,Kartuzy,Floriana Ceynowy,5A,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-482130295
Zakład Ubezpieczeń Społecznych - Inspektorat w Kościerzynie,Inspektorat ZUS w Kościerzynie,08.-40,Kościerzyna,3 Maja 9,b,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-100938484
Zakład Ubezpieczeń Społecznych - Inspektorat w Kwidzynie,Inspektorat ZUS w Kwidzynie,08.-50,Kwidzyn,Piłsudskiego 29,a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-500412760
Zakład Ubezpieczeń Społecznych - Inspektorat w Malborku,Inspektorat ZUS w Malborku,08.-20,Malbork,Dworcowa,1B,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-1017618621
Zakład Ubezpieczeń Społecznych - Inspektorat w Pruszczu Gdańskim,Inspektorat ZUS w Pruszczu Gdańskim,08.-00,Pruszcz Gdański,Wita Stwosza,7,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-292405948
Zakład Ubezpieczeń Społecznych - Inspektorat w Pucku,Inspektorat ZUS w Pucku,08.-10,Puck,E. Orzeszkowej,3,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-137824236
Zakład Ubezpieczeń Społecznych - Inspektorat w Starogardzie Gdańskim,Inspektorat ZUS w Starogardzie Gdańskim,08.-20,Starogard Gdański,Piłsudskiego,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-454939708
Zakład Ubezpieczeń Społecznych - Inspektorat w Sztumie,Inspektorat ZUS w Sztumie,08.-40,Sztum,Mickiewicza,34,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-909871131
Zakład Ubezpieczeń Społecznych - Inspektorat w Tczewie,Inspektorat ZUS w Tczewie,08.-11,Tczew,Jagiellońska,55,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-1017280786
Zakład Ubezpieczeń Społecznych - Inspektorat w Wejherowie,Inspektorat ZUS w Wejherowie,08.-20,Wejherowo,Sobieskiego,294,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-52330850
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Sopocie,Biuro Terenowe ZUS w Sopocie,08.-80,Sopot,Al. Niepodległości,796,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gdańsku,-840442931
Zakład Ubezpieczeń Społecznych - Oddział w Gorzowie Wielkopolskim,Oddział ZUS w Gorzowie Wielkopolskim,66-400,Gorzów Wielkopolski,Sikorskiego,42,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-568556797
Zakład Ubezpieczeń Społecznych - Inspektorat w Słubicach,Inspektorat ZUS w Słubicach,69-100,Słubice,Kościuszki,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gorzowie Wielkopolskim,-281578249
Zakład Ubezpieczeń Społecznych - Inspektorat w Sulęcinie,Inspektorat ZUS w Sulęcinie,69-200,Sulęcin,Witosa,21,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gorzowie Wielkopolskim,-472933912
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Międzyrzeczu,Biuro Terenowe ZUS w Międzyrzeczu,66-300,Międzyrzecz,Przemyslowa,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gorzowie Wielkopolskim,-662888574
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Strzelcach Krajeńskich,Biuro Terenowe ZUS w Strzelcach Krajeńskich,66-500,Strzelce Krajeńskie,Al. Wolności,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Gorzowie Wielkopolskim,-362818613
Zakład Ubezpieczeń Społecznych - Oddział w Jaśle,Oddział ZUS w Jaśle,38-200,Jasło,Rynek 18,b,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-49438648
Zakład Ubezpieczeń Społecznych - Inspektorat w Brzozowie,Inspektorat ZUS w Brzozowie,36-200,Brzozów,Witosa,11,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Jaśle,-268382676
Zakład Ubezpieczeń Społecznych - Inspektorat w Dębicy,Inspektorat ZUS w Dębicy,39-200,Dębica,Piłsudskiego,15,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Jaśle,-937394984
Zakład Ubezpieczeń Społecznych - Inspektorat w Krośnie,Inspektorat ZUS w Krośnie,38-400,Krosno,Bieszczadzka,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Jaśle,-534520813
Zakład Ubezpieczeń Społecznych - Inspektorat w Sanoku,Inspektorat ZUS w Sanoku,38-500,Sanok,Konarskiego,20,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Jaśle,-605700607
Zakład Ubezpieczeń Społecznych - Oddział w Kielcach,Oddział ZUS w Kielcach,25-510,Kielce,Piotrkowska,27,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-982594233
Zakład Ubezpieczeń Społecznych - Inspektorat w Busku-Zdroju,Inspektorat ZUS w Busku-Zdroju,28-100,Busko-Zdrój,Partyzantów,33,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-563521652
Zakład Ubezpieczeń Społecznych - Inspektorat w Końskich,Inspektorat ZUS w Końskich,26-200,Końskie,Partyzantów,50,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-522409497
Zakład Ubezpieczeń Społecznych - Inspektorat w Opatowie,Inspektorat ZUS w Opatowie,27-500,Opatów,Sempołowskiej,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-194048312
Zakład Ubezpieczeń Społecznych - Inspektorat w Ostrowcu Świetokrzyskim,Inspektorat ZUS w Ostrowcu Świetokrzyskim,27-400,Ostrowiec Świetokrzyski,Rosłońskiego,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-1066756953
Zakład Ubezpieczeń Społecznych - Inspektorat w Skarżysku Kamiennej,Inspektorat ZUS w Skarżysku Kamiennej,26-110,Skarżysko Kamienna,Kossaka,3,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-570659082
Zakład Ubezpieczeń Społecznych - Inspektorat w Starachowicach,Inspektorat ZUS w Starachowicach,27-200,Starachowice,Radomska,31A,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-660402295
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Jędrzejowie,Biuro Terenowe ZUS w Jędrzejowie,28-300,Jędrzejów,Przemysłowa,7,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-769295478
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Pińczowie,Biuro Terenowe ZUS w Pińczowie,28-400,Pińczów,3-go Maja,40,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-462998018
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Sandomierzu,Biuro Terenowe ZUS w Sandomierzu,27-600,Sandomierz,Juliusza Słowackiego,37C/1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-177475646
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Staszowie,Biuro Terenowe ZUS w Staszowie,28-200,Staszów,Długa,10,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-1059613531
Zakład Ubezpieczeń Społecznych - Biuro Terenowe we Włoszczowie,Biuro Terenowe ZUS we Włoszczowie,29-100,Włoszczowa,Jana Brożka,3,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Kielcach,-552825182
Zakład Ubezpieczeń Społecznych - Oddział w Koszalinie,Oddział ZUS w Koszalinie,75-434,Koszalin,Juliana Fałata,30,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-44074403
Zakład Ubezpieczeń Społecznych - Inspektorat w Białogardzie,Inspektorat ZUS w Białogardzie,78-200,Białogard,Wojska Polskiego,56,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Koszalinie,-358407286
Zakład Ubezpieczeń Społecznych - Inspektorat w Drawsku Pomorskim,Inspektorat ZUS w Drawsku Pomorskim,78-500,Drawsko Pomorskie,Sikorskiego,30,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Koszalinie,-1063484048
Zakład Ubezpieczeń Społecznych - Inspektorat w Kołobrzegu,Inspektorat ZUS w Kołobrzegu,78-100,Kołobrzeg,Łopuskiego,21,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Koszalinie,-437051698
Zakład Ubezpieczeń Społecznych - Inspektorat w Szczecinku,Inspektorat ZUS w Szczecinku,78-400,Szczecinek,Pl. Wolności,18,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Koszalinie,-635696614
Zakład Ubezpieczeń Społecznych - Inspektorat w Świdwinie,Inspektorat ZUS w Świdwinie,78-300,Świdwin,Wojska Polskiego,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Koszalinie,-393604422
Zakład Ubezpieczeń Społecznych - Inspektorat w Wałczu,Inspektorat ZUS w Wałczu,78-600,Wałcz,Dąbrowskiego,11,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Koszalinie,-530181061
Zakład Ubezpieczeń Społecznych - Oddział w Krakowie,Oddział ZUS w Krakowie,31-080,Kraków,Pędzichów,27,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-519849857
Zakład Ubezpieczeń Społecznych - Inspektorat Kraków - Krowodrza,Inspektorat ZUS Kraków - Krowodrza,30-015,Kraków,Świętokrzyska,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Krakowie,-665673019
