official_name,short_name,addr:postcode,addr:city,addr:street,addr:housenumber,opening_hours,operator,__id
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Lipsku,Biuro Terenowe ZUS w Lipsku,27-300,Lipsko,Partyzantów,10,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Radomiu,-166042032
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Pionkach,Biuro Terenowe ZUS w Pionkach,26-670,Pionki,Aleja Jana Pawła II,11,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Radomiu,-176371561
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Przysusze,Biuro Terenowe ZUS w Przysusze,26-400,Przysucha,Radomska,30,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Radomiu,-668297283
Zakład Ubezpieczeń Społecznych - Oddział w Rybniku,Oddział ZUS w Rybniku,44-200,Rybnik,Reymonta,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-77643277
Zakład Ubezpieczeń Społecznych - Inspektorat w Pszczynie,Inspektorat ZUS w Pszczynie,43-200,Pszczyna,Kopernika,22,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rybniku,-398009511
Zakład Ubezpieczeń Społecznych - Inspektorat w Raciborzu,Inspektorat ZUS w Raciborzu,47-400,Racibórz,Łąkowa,28,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rybniku,-243771545
Zakład Ubezpieczeń Społecznych - Inspektorat w Tychach,Inspektorat ZUS w Tychach,43-100,Tychy,de Gaulle'a,16,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rybniku,-1007012534
Zakład Ubezpieczeń Społecznych - Inspektorat w Wodzisławiu Śląskim,Inspektorat ZUS w Wodzisławiu Śląskim,44-300,Wodzisław Śląski,Witosa,30,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rybniku,-946992269
Zakład Ubezpieczeń Społecznych - Oddział w Rzeszowie,Oddział ZUS w Rzeszowie,35-075,Rzeszów,Al. Piłsudskiego,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-935669314
Zakład Ubezpieczeń Społecznych - Inspektorat w Jarosławiu,Inspektorat ZUS w Jarosławiu,37-500,Jarosław,Słowackiego,21,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rzeszowie,-428820535
Zakład Ubezpieczeń Społecznych - Inspektorat w Leżajsku,Inspektorat ZUS w Leżajsku,37-300,Leżajsk,Mickiewicza,24,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rzeszowie,-393404662
Zakład Ubezpieczeń Społecznych - Inspektorat w Mielcu,Inspektorat ZUS w Mielcu,39-300,Mielec,Sikorskiego,4,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rzeszowie,-763614315
Zakład Ubezpieczeń Społecznych - Inspektorat w Przemyślu,Inspektorat ZUS w Przemyślu,37-700,Przemyśl,Brodzińskiego,6,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rzeszowie,-672488095
Zakład Ubezpieczeń Społecznych - Inspektorat w Przeworsku,Inspektorat ZUS w Przeworsku,37-200,Przeworsk,Dworcowa,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rzeszowie,-769989560
Zakład Ubezpieczeń Społecznych - Inspektorat w Stalowej Woli,Inspektorat ZUS w Stalowej Woli,37-450,Stalowa Wola,Ks. J. Popiełuszki,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rzeszowie,-1050492124
Zakład Ubezpieczeń Społecznych - Inspektorat w Tarnobrzegu,Inspektorat ZUS w Tarnobrzegu,39-400,Tarnobrzeg,Sienkiewicza,145d,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rzeszowie,-386822663
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Lubaczowie,Biuro Terenowe ZUS w Lubaczowie,37-600,Lubaczów,Mickiewicza,168,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Rzeszowie,-916797788
Zakład Ubezpieczeń Społecznych - Oddział w Siedlcach,Oddział ZUS w Siedlcach,08-110,Siedlce,Browarna,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-548237045
Zakład Ubezpieczeń Społecznych - Inspektorat w Garwolinie,Inspektorat ZUS w Garwolinie,08-400,Garwolin,Kościuszki,38a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Siedlcach,-275498185
Zakład Ubezpieczeń Społecznych - Inspektorat w Mińsku Mazowieckim,Inspektorat ZUS w Mińsku Mazowieckim,05-300,Mińsk Mazowiecki,Warszawska,84,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Siedlcach,-361120192
Zakład Ubezpieczeń Społecznych - Inspektorat w Sokołowie Podlaskim,Inspektorat ZUS w Sokołowie Podlaskim,08-300,Sokołów Podlaski,Piłsudskiego,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Siedlcach,-77535136
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Łosicach,Biuro Terenowe ZUS w Łosicach,08-200,Łosice,Kilińskiego,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Siedlcach,-799945734
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Węgrowie,Biuro Terenowe ZUS w Węgrowie,07-100,Węgrów,Wieniawskiego,15,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Siedlcach,-113962724
Zakład Ubezpieczeń Społecznych - Oddział w Słupsku,Oddział ZUS w Słupsku,76-200,Słupsk,Pl. Zwycięstwa,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-781231876
Zakład Ubezpieczeń Społecznych - Inspektorat w Bytowie,Inspektorat ZUS w Bytowie,77-100,Bytów,Kościuszki,16,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Słupsku,-912621766
Zakład Ubezpieczeń Społecznych - Inspektorat w Chojnicach,Inspektorat ZUS w Chojnicach,08.-60,Chojnice,Łużycka,20,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Słupsku,-553978374
Zakład Ubezpieczeń Społecznych - Inspektorat w Człuchowie,Inspektorat ZUS w Człuchowie,77-300,Człuchów,Jerzego z Dąbrowy,3a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Słupsku,-569943989
Zakład Ubezpieczeń Społecznych - Inspektorat w Lęborku,Inspektorat ZUS w Lęborku,08.-30,Lębork,B. Krzywoustego,15,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Słupsku,-822125097
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Miastku,Biuro Terenowe ZUS w Miastku,77-200,Miastko,Królowej Jadwigi,13,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Słupsku,-12607441
Zakład Ubezpieczeń Społecznych - Oddział w Sosnowcu,Oddział ZUS w Sosnowcu,41-200,Sosnowiec,Partyzantów,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-337987511
Zakład Ubezpieczeń Społecznych - Inspektorat w Dąbrowie Górniczej,Inspektorat ZUS w Dąbrowie Górniczej,41-300,Dąbrowa Górnicza,Kościuszki,48,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Sosnowcu,-495545215
Zakład Ubezpieczeń Społecznych - Inspektorat w Jaworznie,Inspektorat ZUS w Jaworznie,43-600,Jaworzno,Grunwaldzka,274,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Sosnowcu,-797881390
Zakład Ubezpieczeń Społecznych - Inspektorat w Zawierciu,Inspektorat ZUS w Zawierciu,42-400,Zawiercie,Blanowska,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Sosnowcu,-179772089
Zakład Ubezpieczeń Społecznych - Oddział w Szczecinie,Oddział ZUS w Szczecinie,70-530,Szczecin,Matejki,22,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-643294588
Zakład Ubezpieczeń Społecznych - Inspektorat w Choszcznie,Inspektorat ZUS w Choszcznie,73-200,Choszczno,Jagiełły,28,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Szczecinie,-70119925
Zakład Ubezpieczeń Społecznych - Inspektorat w Gryficach,Inspektorat ZUS w Gryficach,72-300,Gryfice,Dąbskiego,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Szczecinie,-548417416
Zakład Ubezpieczeń Społecznych - Inspektorat w Łobzie,Inspektorat ZUS w Łobzie,73-150,Łobez,Kościuszki,26,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Szczecinie,-181276617
Zakład Ubezpieczeń Społecznych - Inspektorat w Myśliborzu,Inspektorat ZUS w Myśliborzu,74-300,Myślibórz,Witolda Pileckiego,29,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Szczecinie,-447028652
Zakład Ubezpieczeń Społecznych - Inspektorat w Pyrzycach,Inspektorat ZUS w Pyrzycach,74-200,Pyrzyce,Sportowa,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Szczecinie,-922797592
Zakład Ubezpieczeń Społecznych - Inspektorat w Stargardzie,Inspektorat ZUS w Stargardzie,73-110,Stargard,Składowa,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Szczecinie,-376991952
Zakład Ubezpieczeń Społecznych - Inspektorat w Świnoujściu,Inspektorat ZUS w Świnoujściu,72-600,Świnoujście,Piastowska,63,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Szczecinie,-530189571
Zakład Ubezpieczeń Społecznych - Oddział w Tarnowie,Oddział ZUS w Tarnowie,33-100,Tarnów,Kościuszki,32,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-451490859
Zakład Ubezpieczeń Społecznych - Inspektorat w Bochni,Inspektorat ZUS w Bochni,32-700,Bochnia,Kazimierza Wielkiego,48,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Tarnowie,-875560966
Zakład Ubezpieczeń Społecznych - Oddział w Tomaszowie Mazowieckim,Oddział ZUS w Tomaszowie Mazowieckim,97-200,Tomaszów Mazowiecki,Prezydenta Ignacego Mościckiego,40/42,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-88401760
Zakład Ubezpieczeń Społecznych - Inspektorat w Bełchatowie,Inspektorat ZUS w Bełchatowie,97-400,Bełchatów,Wojska Polskiego,69,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Tomaszowie Mazowieckim,-1004252886
Zakład Ubezpieczeń Społecznych - Inspektorat w Opocznie,Inspektorat ZUS w Opocznie,26-300,Opoczno,Moniuszki,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Tomaszowie Mazowieckim,-157392144
Zakład Ubezpieczeń Społecznych - Inspektorat w Piotrkowie Trybunalskim,Inspektorat ZUS w Piotrkowie Trybunalskim,97-300,Piotrków Trybunalski,Armii Krajowej,9,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Tomaszowie Mazowieckim,-878491939
Zakład Ubezpieczeń Społecznych - Inspektorat w Radomsku,Inspektorat ZUS w Radomsku,97-500,Radomsko,Piastowska,24a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Tomaszowie Mazowieckim,-363033598
Zakład Ubezpieczeń Społecznych - Inspektorat w Skierniewicach,Inspektorat ZUS w Skierniewicach,96-100,Skierniewice,Al. Niepodległości,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Tomaszowie Mazowieckim,-781120494
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Rawie Mazowieckiej,Biuro Terenowe ZUS w Rawie Mazowieckiej,96-200,Rawa Mazowiecka,Solidarności,1a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Tomaszowie Mazowieckim,-693785973
Zakład Ubezpieczeń Społecznych - Oddział w Toruniu,Oddział ZUS w Toruniu,08.-10,Toruń,Mickiewicza,33/39,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-339800838
Zakład Ubezpieczeń Społecznych - Inspektorat w Aleksandrowie Kujawskim,Inspektorat ZUS w Aleksandrowie Kujawskim,08.-70,Aleksandrów Kujawski,Słowackiego,6a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Toruniu,-545348002
Zakład Ubezpieczeń Społecznych - Inspektorat w Brodnicy,Inspektorat ZUS w Brodnicy,08.-30,Brodnica,Mały Rynek,5,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Toruniu,-118047012
Zakład Ubezpieczeń Społecznych - Inspektorat w Grudziądzu,Inspektorat ZUS w Grudziądzu,08.-30,Grudziądz,Wybickiego,39,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Toruniu,-683775491
Zakład Ubezpieczeń Społecznych - Inspektorat w Lipnie,Inspektorat ZUS w Lipnie,08.-60,Lipno,Mickiewicza,43,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Toruniu,-1032527263
Zakład Ubezpieczeń Społecznych - Inspektorat we Włocławku,Inspektorat ZUS we Włocławku,08.-80,Włocławek,Pl. Wolności,18/19,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Toruniu,-946996051
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Golubiu-Dobrzyniu,Biuro Terenowe ZUS w Golubiu-Dobrzyniu,08.-40,Golub-Dobrzyń,1000-lecia,25,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Toruniu,-741161279
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Rypinie,Biuro Terenowe ZUS w Rypinie,08.-50,Rypin,Mławska,12,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Toruniu,-997129146
Zakład Ubezpieczeń Społecznych - Oddział w Wałbrzychu,Oddział ZUS w Wałbrzychu,58-390,Wałbrzych,Kasztanowa,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-624440462
Zakład Ubezpieczeń Społecznych - Inspektorat w Dzierżoniowie,Inspektorat ZUS w Dzierżoniowie,58-200,Dzierżoniów,gen. Władysława Andersa,6a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Wałbrzychu,-941992656
Zakład Ubezpieczeń Społecznych - Inspektorat w Jeleniej Górze,Inspektorat ZUS w Jeleniej Górze,58-506,Jelenia Góra,Sygietyńskiego,10,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Wałbrzychu,-920049363
Zakład Ubezpieczeń Społecznych - Inspektorat w Kamiennej Górze,Inspektorat ZUS w Kamiennej Górze,58-400,Kamienna Góra,Al. Wojska Polskiego,14,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Wałbrzychu,-261069563
Zakład Ubezpieczeń Społecznych - Inspektorat w Kłodzku,Inspektorat ZUS w Kłodzku,57-300,Kłodzko,Pl. B. Chrobrego,21,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Wałbrzychu,-7028734
Zakład Ubezpieczeń Społecznych - Inspektorat w Lubaniu,Inspektorat ZUS w Lubaniu,59-800,Lubań,Łokietka,13,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Wałbrzychu,-928885080
Zakład Ubezpieczeń Społecznych - Inspektorat w Świdnicy,Inspektorat ZUS w Świdnicy,58-100,Świdnica,Saperów,29,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Wałbrzychu,-307850590
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Ząbkowicach Śląskich,Biuro Terenowe ZUS w Ząbkowicach Śląskich,57-200,Ząbkowice Śląskie,Os. XX-lecia,52,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Wałbrzychu,-600633606
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Zgorzelcu,Biuro Terenowe ZUS w Zgorzelcu,59-900,Zgorzelec,Prusa,3,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Wałbrzychu,-551576170
Zakład Ubezpieczeń Społecznych - I Oddział w Warszawie,I Oddział ZUS w Warszawie,00-917,Warszawa,Senatorska,6/8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-1006712435
Zakład Ubezpieczeń Społecznych - Inspektorat Warszawa-Ochota,Inspektorat ZUS Warszawa-Ochota,02-374,Warszawa,E. Orzeszkowej,14,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Warszawie,-940412742
Zakład Ubezpieczeń Społecznych - Inspektorat Warszawa-Wola,Inspektorat ZUS Warszawa-Wola,01-493,Warszawa-Wola,Wrocławska,20,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Warszawie,-525204129
Zakład Ubezpieczeń Społecznych - Inspektorat Warszawa-Żoliborz,Inspektorat ZUS Warszawa-Żoliborz,01-949,Warszawa-Żoliborz,Kasprowicza,151,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS I Oddział w Warszawie,-1033161947
Zakład Ubezpieczeń Społecznych - II Oddział w Warszawie,II Oddział ZUS w Warszawie,03-829,Warszawa,Podskarbińska,25,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-500394938
Zakład Ubezpieczeń Społecznych - Inspektorat w Legionowie,Inspektorat ZUS w Legionowie,05-120,Legionowo,Słowackiego,20,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Warszawie,-1060061461
Zakład Ubezpieczeń Społecznych - Inspektorat w Nowym Dworze Mazowieckim,Inspektorat ZUS w Nowym Dworze Mazowieckim,05-100,Nowy Dwór Mazowiecki,Modlińska,10,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Warszawie,-64089454
Zakład Ubezpieczeń Społecznych - Inspektorat w Otwocku,Inspektorat ZUS w Otwocku,05-400,Otwock,Poniatowskiego,17,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Warszawie,-310519652
Zakład Ubezpieczeń Społecznych - Inspektorat w Wołominie,Inspektorat ZUS w Wołominie,05-200,Wołomin,Reja,20,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Warszawie,-688665974
Zakład Ubezpieczeń Społecznych - Inspektorat Warszawa-Praga Północ,Inspektorat ZUS Warszawa-Praga Północ,03-446,Warszawa-Praga Północ,11-go Listopada,15a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS II Oddział w Warszawie,-285905676
Zakład Ubezpieczeń Społecznych - III Oddział w Warszawie,III Oddział ZUS w Warszawie,00-701,Warszawa,Czerniakowska,16,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-479915312
Zakład Ubezpieczeń Społecznych - Inspektorat w Piasecznie,Inspektorat ZUS w Piasecznie,05-500,Piaseczno,Puławska,34B,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS III Oddział w Warszawie,-1073495208
Zakład Ubezpieczeń Społecznych - Inspektorat w Pruszkowie,Inspektorat ZUS w Pruszkowie,05-800,Pruszków,Ołówkowa,38,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS III Oddział w Warszawie,-580000647
Zakład Ubezpieczeń Społecznych - Inspektorat w Sochaczewie,Inspektorat ZUS w Sochaczewie,96-500,Sochaczew,Reymonta,20,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS III Oddział w Warszawie,-1034073921
Zakład Ubezpieczeń Społecznych - Inspektorat w Żyrardowie,Inspektorat ZUS w Żyrardowie,96-300,Żyrardów,Bankowa,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS III Oddział w Warszawie,-937749015
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Grodzisku Mazowieckim,Biuro Terenowe ZUS w Grodzisku Mazowieckim,05-825,Grodzisk Mazowiecki,Pańska,17,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS III Oddział w Warszawie,-19180350
Zakład Ubezpieczeń Społecznych - Biuro Terenowe Warszawa-Ursynów,Biuro Terenowe ZUS Warszawa-Ursynów,02-796,Warszawa-Ursynów,Dembego,23B,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,ZUS III Oddział w Warszawie,-773042110
Zakład Ubezpieczeń Społecznych - Oddział we Wrocławiu,Oddział ZUS we Wrocławiu,50-930,Wrocław,Pretficza,11,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-840571978
Zakład Ubezpieczeń Społecznych - Inspektorat w Oleśnicy,Inspektorat ZUS w Oleśnicy,56-400,Oleśnica,Lwowska,34-38,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS we Wrocławiu,-4611865
Zakład Ubezpieczeń Społecznych - Inspektorat w Oławie,Inspektorat ZUS w Oławie,55-200,Oława,Kasprowicza,34,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS we Wrocławiu,-43807187
Zakład Ubezpieczeń Społecznych - Inspektorat w Trzebnicy,Inspektorat ZUS w Trzebnicy,55-100,Trzebnica,Wojska Polskiego,1b,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS we Wrocławiu,-494530486
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Miliczu,Biuro Terenowe ZUS w Miliczu,56-300,Milicz,Kościuszki,22,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS we Wrocławiu,-621011540
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Strzelinie,Biuro Terenowe ZUS w Strzelinie,57-100,Strzelin,Dzierżoniowska,14,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS we Wrocławiu,-142590987
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Sycowie,Biuro Terenowe ZUS w Sycowie,56-500,Syców,Wałowa,16,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS we Wrocławiu,-823795626
Zakład Ubezpieczeń Społecznych - Biuro Terenowe W Środzie Śląskiej,Biuro Terenowe ZUS W Środzie Śląskiej,55-300,Środa Śląska,Kolejowa,28,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS we Wrocławiu,-774560669
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Wołowie,Biuro Terenowe ZUS w Wołowie,56-100,Wołów,Objazdowa,5a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS we Wrocławiu,-824150437
Zakład Ubezpieczeń Społecznych - Oddział w Zabrzu,Oddział ZUS w Zabrzu,41-800,Zabrze,Szczęść Boże,18,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-816447176
Zakład Ubezpieczeń Społecznych - Inspektorat w Tarnowskich Górach,Inspektorat ZUS w Tarnowskich Górach,42-600,Tarnowskie Góry,Górnicza,4-8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Zabrzu,-379110290
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Bytomiu,Biuro Terenowe ZUS w Bytomiu,41-902,Bytom,K. Miarki,8,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Zabrzu,-371255001
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Gliwicach,Biuro Terenowe ZUS w Gliwicach,44-100,Gliwice,Pszczyńska,44A,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Zabrzu,-732880006
Zakład Ubezpieczeń Społecznych - Oddział w Zielonej Górze,Oddział ZUS w Zielonej Górze,65-426,Zielona Góra,Kupiecka,65,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,,-889891171
Zakład Ubezpieczeń Społecznych - Inspektorat w Krośnie Odrzańskim,Inspektorat ZUS w Krośnie Odrzańskim,66-600,Krosno Odrzańskie,Słubicka,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Zielonej Górze,-443851355
Zakład Ubezpieczeń Społecznych - Inspektorat w Nowej Soli,Inspektorat ZUS w Nowej Soli,67-100,Nowa Sól,Kościuszki,29,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Zielonej Górze,-818164015
Zakład Ubezpieczeń Społecznych - Inspektorat w Świebodzinie,Inspektorat ZUS w Świebodzinie,66-200,Świebodzin,Sikorskiego,42,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Zielonej Górze,-49362586
Zakład Ubezpieczeń Społecznych - Inspektorat w Żarach,Inspektorat ZUS w Żarach,68-200,Żary,Lotników 1,a,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Zielonej Górze,-1038116209
Zakład Ubezpieczeń Społecznych - Biuro Terenowe w Gubinie,Biuro Terenowe ZUS w Gubinie,66-620,Gubin,Słowackiego,2,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Zielonej Górze,-684670708
Zakład Ubezpieczeń Społecznych - Biuro Terenowe we Wschowie,Biuro Terenowe ZUS we Wschowie,67-400,Wschowa,Pocztowa,1,Mo-We 8:00-15:30; Th 08:00-17:00; Fr 8:00-14:00,Oddział ZUS w Zielonej Górze,-340594221
