name|brand|brand:wikidata|addr:postcode|addr:city|addr:place|addr:street|addr:housenumber|addr:door|@lat|@lon|@id
Delikatesy Centrum|Delikatesy Centrum||67-115|Bytom Odrzański||Kożuchowska|1||51.7307492|15.8260317|node/2047646442
Delikatesy Centrum|Delikatesy Centrum||37-611|Cieszanów||Henryka Sienkiewicza|7||50.2394010|23.1325647|node/2080252120
Delikatesy Centrum|Delikatesy Centrum||21-080|Garbów||Młyńska|2||51.3546355|22.3346076|node/2083472103
Delikatesy Centrum|||52-200|Wysoka||Brzozowa|2||51.0497124|17.0008188|node/2085559424
Delikatesy Centrum|Delikatesy Centrum||46-100|Namysłów||Wały Jana III|2||51.0754350|17.7198628|node/2099932728
Delikatesy Centrum|Delikatesy Centrum||05-071|Sulejówek||Armii Krajowej|88||52.2525800|21.3035300|node/2143615138
Delikatesy Centrum|Delikatesy Centrum||32-600|Brzezinka||Czernichowska|5||50.0422640|19.1893442|node/2167309365
Delikatesy Centrum|Delikatesy Centrum||22-235|Hańsk Pierwszy||Parczewska|2||51.4007962|23.4041701|node/2179876648
Delikatesy Centrum|Delikatesy Centrum||35-309|Rzeszów||Podwisłocze|30||50.0259489|22.0076431|node/2188334220
Delikatesy Centrum|Delikatesy Centrum||33-395|Mała Wieś||Papieska|||49.6126536|20.6618763|node/2197475228
Delikatesy Centrum|||42-227|Miedźna||Pszczyńska|||49.9698186|19.0533615|node/2200318478
Delikatesy Centrum|Delikatesy Centrum|||Brzeszcze||Tadeusza Kościuszki|1A||49.9853982|19.1457178|node/2203950144
Delikatesy Centrum|Delikatesy Centrum||22-680|Lubycza Królewska||Szkolna|30||50.3357602|23.5153755|node/2207124849
Delikatesy Centrum|||48-300|Nysa|Podzamcze||C21c||50.4864031|17.3427131|node/2247193661
Delikatesy Centrum|Delikatesy Centrum||83-307|Kiełpino||Długa|36A||54.2889187|18.2176786|node/2250032779
Delikatesy Centrum|Delikatesy Centrum||32-600|Rajsko||Pszczyńska|25||50.0107555|19.1935720|node/2275137539
Delikatesy Centrum|Delikatesy Centrum||43-370|Szczyrk||Beskidzka|12||49.7157595|19.0257300|node/2286421320
Delikatesy Centrum|Delikatesy Centrum||77-141|Borzytuchom||Zwycięstwa|37||54.1992672|17.3679259|node/2290595250
Delikatesy Centrum|Delikatesy Centrum||32-250|Miechów-Charsznica||Kolejowa|24||50.3951435|19.9473633|node/2292520878
Delikatesy Centrum|Delikatesy Centrum||97-505|Dobryszyce||Wolności|2||51.1454983|19.4085741|node/2341778062
Delikatesy Centrum|Delikatesy Centrum||37-310|Nowa Sarzyna||Jana Pawła II|4||50.3222255|22.3438219|node/2348072234
Delikatesy Centrum|||37-310|Nowa Sarzyna||Marii Konopnickiej|3||50.3179448|22.3417648|node/2348075479
Delikatesy Centrum|||37-310|Nowa Sarzyna||Słoneczna|||50.3262545|22.3429059|node/2348075480
Delikatesy Centrum|||21-505|Janów Podlaski||Siedlecka|13||52.1993861|23.2047680|node/2361313837
Delikatesy Centrum|Delikatesy Centrum||53-671|Wrocław||Legnicka|23-25||51.1131867|17.0145145|node/2381135355
Delikatesy Centrum|||66-470|Kostrzyn nad Odrą||Spichrzowa|||52.5789611|14.6397496|node/2393811608
Delikatesy Centrum|Delikatesy Centrum||58-340|Głuszyca||Częstochowska|1A||50.6859970|16.3714950|node/2400253779
Delikatesy Centrum|||12-220|Ruciane-Nida||Dworcowa|10a||53.6491615|21.5644270|node/2410265420
Delikatesy Centrum|Delikatesy Centrum||34-500|Zakopane||Nowotarska|19||49.2994171|19.9498936|node/2424495019
Delikatesy Centrum|||37-111||Rakszawa||348||50.1529695|22.2432915|node/2425448233
Delikatesy Centrum|Delikatesy Centrum||37-700|Przemyśl||Grunwaldzka|97a||49.7848161|22.7534249|node/2427904430
Delikatesy Centrum|Delikatesy Centrum||62-700|Turek||650-lecia|14||52.0153320|18.5099662|node/2437455200
Delikatesy Centrum|||55-050|Sobótka||Rynek|||50.8985311|16.7451047|node/2442414785
Delikatesy Centrum|Delikatesy Centrum||47-134|Błotnica Strzelecka||Dworcowa|||50.4845143|18.4075140|node/2452726144
Delikatesy Centrum|||99-302|Kutno||Marii Skłodowskiej-Curie|46||52.2410417|19.3535206|node/2463334458
Delikatesy Centrum|Delikatesy Centrum||26-500|Szydłowiec||Tadeusza Kościuszki|213||51.2295607|20.8609882|node/2469454016
Delikatesy Centrum|||34-501|Zakopane||Droga do Olczy|6||49.2861413|19.9805767|node/2478742643
Delikatesy Centrum|Delikatesy Centrum||32-660|Chełmek||Krakowska|||50.1005242|19.2646811|node/2483598941
Delikatesy Centrum|Delikatesy Centrum||43-436|Górki Małe||Breńska|||49.7703191|18.8540313|node/2495909509
Delikatesy Centrum|||32-050|Skawina||Adama Mickiewicza|8||49.9756501|19.8249016|node/2531677315
Delikatesy Centrum|||98-310||Czarnożyły||111||51.2863776|18.5608874|node/2584203162
