__id,__lat,__lon
-827208631,52.9937622,16.9105947
-948971692,52.8980202,16.5562956
-297937591,52.8106727,17.2106339
-319712887,53.36191,17.0496033
-136867298,52.5446356,19.7096999
-183072903,52.4383481,19.4703606
-781834876,False,False
-914658038,52.6223404,20.3761295
-436176657,53.0171025,20.8838589
-612750332,53.0687778,19.916351
-337653180,52.2297301,16.3628759
-126141087,52.5999963,15.8933616
-954528350,52.3864501,16.9105453
-535447673,52.3711595,16.9350416
-433273283,52.5348624,17.6022743
-608660891,52.6400996,16.8091492
-701474561,52.228572,17.273877
-597876847,52.3200852,17.5592143
-118159789,52.2894769,17.8744573
-230418828,False,False
-188541781,51.3590152,21.5785374
-176371561,51.4728207,21.4449157
-77643277,50.089377,18.5410925
-398009511,49.9762267,18.9452502
-393404662,50.2557639,22.4223035
-763614315,50.2952929,21.4375813
-916797788,50.171722,23.1232376
-275498185,51.9001098,21.6128711
-361120192,52.1829841,21.5563615
-781231876,54.4637816,17.0283073
-822125097,False,False
-12607441,54.0028508,16.9815917
-337987511,50.2721916,19.1423619
-495545215,50.3210828,19.1862334
-643294588,53.4320392,14.5575394
-70119925,53.1647356,15.4257718
-548417416,53.9164164,15.2052088
-181276617,53.6368755,15.6204373
-447028652,52.9274537,14.8722305
-376991952,53.3483798,15.0154604
-530189571,53.9104883,14.2450362
-875560966,49.9652187,20.4237983
-88401760,51.5300121,20.0174434
-1004252886,51.3555708,19.368831
-157392144,51.3777087,20.2879076
-363033598,51.0595294,19.4552585
-693785973,51.7580765,20.250714
-545348002,52.8752846,18.6956081
-1032527263,False,False
-946996051,False,False
-741161279,False,False
-997129146,False,False
-624440462,50.7659657,16.2744603
-920049363,50.9212117,15.7587611
-7028734,False,False
-307850590,50.8485092,16.4953869
-600633606,50.5953021,16.8184737
-1006712435,52.2459187,21.0111471
-285905676,False,False
-479915312,52.1997684,21.0519995
-1073495208,52.0825268,21.024065
-580000647,52.1638,20.79449
-4611865,51.2092348,17.3889303
-43807187,50.9377795,17.3012768
-494530486,51.3101072,17.0611311
-621011540,51.5236647,17.2772147
-142590987,50.7819874,17.0617515
-823795626,51.3081427,17.7186453
-774560669,51.1717577,16.5878137
-824150437,51.3337212,16.6596483
-816447176,50.3038179,18.7825025
-371255001,False,False
-818164015,51.8086603,15.706663
-684670708,51.9498209,14.7294017
